x,y,z,p
0,0,0,13.8902
0,0.1,0,13.8511
0,0.2,0,13.812
0,0.3,0,13.7685
0,0.4,0,13.7206
0,0.5,0,13.6727
0,0.6,0,13.6534
0,0.7,0,13.6342
0,0.8,0,13.6168
0,0.9,0,13.6013
0,1,0,13.5857
0,1.1,0,13.5775
0,1.2,0,13.5693
0,1.3,0,13.563
0,1.4,0,13.5584
0,1.5,0,13.5539
0,1.6,0,13.5524
0,1.7,0,13.5509
0,1.8,0,13.5505
0,1.9,0,13.5514
0,2,0,13.5522
0,2.1,0,13.5548
0,2.2,0,13.5574
0,2.3,0,13.5607
0,2.4,0,13.5647
0,2.5,0,13.5687
0,2.6,0,13.5736
0,2.7,0,13.5785
0,2.8,0,13.5838
0,2.9,0,13.5892
0,3,0,13.5948
0,3.1,0,13.6005
0,3.2,0,13.6063
0,3.3,0,13.6121
0,3.4,0,13.6179
0,3.5,0,13.6238
0,3.6,0,13.6295
0,3.7,0,13.6353
0,3.8,0,13.641
0,3.9,0,13.6466
0,4,0,13.6522
0,4.1,0,13.659
0,4.2,0,13.6659
0,4.3,0,13.6738
0,4.4,0,13.6827
0,4.5,0,13.6916
0,4.6,0,13.7012
0,4.7,0,13.7108
0,4.8,0,13.719
0,4.9,0,13.7258
0,5,0,13.7327
0,5.1,0,13.737
0,5.2,0,13.7405
0,5.3,0,13.7443
0,5.4,0,13.7468
0,5.5,0,13.747
0,5.6,0,13.7444
0,5.7,0,13.739
0,5.8,0,13.731
0,5.9,0,13.7223
0,6,0,13.7108
0,6.1,0,13.6973
0,6.2,0,13.6839
0,6.3,0,13.6704
0,6.4,0,13.6566
0,6.5,0,13.6427
0,6.6,0,13.6287
0,6.7,0,13.6152
0,6.8,0,13.6025
0,6.9,0,13.5899
0,7,0,13.5773
0,7.1,0,13.565
0,7.2,0,13.5527
0,7.3,0,13.5404
0,7.4,0,13.5284
0,7.5,0,13.5165
0,7.6,0,13.5047
0,7.7,0,13.4927
0,7.8,0,13.4803
0,7.9,0,13.4679
0,8,0,13.4555
0,8.1,0,13.4431
0,8.2,0,13.4306
0,8.3,0,13.4182
0,8.4,0,13.4059
0,8.5,0,13.3938
0,8.6,0,13.3816
0,8.7,0,13.3696
0,8.8,0,13.3582
0,8.9,0,13.3468
0,9,0,13.3354
0,9.1,0,13.3249
0,9.2,0,13.3145
0,9.3,0,13.3042
0,9.4,0,13.2946
0,9.5,0,13.2856
0,9.6,0,13.2767
0,9.7,0,13.268
0,9.8,0,13.2606
0,9.9,0,13.2533
0,10,0,13.246
0,10.1,0,13.2401
0,10.2,0,13.2346
0,10.3,0,13.2291
0,10.4,0,13.2245
0,10.5,0,13.2209
0,10.6,0,13.2174
0,10.7,0,13.2141
0,10.8,0,13.2132
0,10.9,0,13.2122
0,11,0,13.2113
0,11.1,0,13.2121
0,11.2,0,13.2136
0,11.3,0,13.215
0,11.4,0,13.2184
0,11.5,0,13.2248
0,11.6,0,13.2312
0,11.7,0,13.2377
0,11.8,0,13.2467
0,11.9,0,13.2557
0,12,0,13.2647
0,12.1,0,13.2869
0,12.2,0,13.3149
0,12.3,0,13.3428
0,12.4,0,13.3695
0,12.5,0,13.3938
0,12.6,0,13.418
0,12.7,0,13.4423
0.1,0,0,13.8024
0.1,0.1,0,13.7759
0.1,0.2,0,13.7368
0.1,0.3,0,13.7008
0.1,0.4,0,13.6605
0.1,0.5,0,13.6126
0.1,0.6,0,13.5973
0.1,0.7,0,13.5781
0.1,0.8,0,13.5618
0.1,0.9,0,13.5474
0.1,1,0,13.5319
0.1,1.1,0,13.5248
0.1,1.2,0,13.5166
0.1,1.3,0,13.5105
0.1,1.4,0,13.5062
0.1,1.5,0,13.5017
0.1,1.6,0,13.5005
0.1,1.7,0,13.499
0.1,1.8,0,13.4988
0.1,1.9,0,13.4998
0.1,2,0,13.5007
0.1,2.1,0,13.5036
0.1,2.2,0,13.5062
0.1,2.3,0,13.5097
0.1,2.4,0,13.5139
0.1,2.5,0,13.5179
0.1,2.6,0,13.5236
0.1,2.7,0,13.5285
0.1,2.8,0,13.5343
0.1,2.9,0,13.5403
0.1,3,0,13.5458
0.1,3.1,0,13.553
0.1,3.2,0,13.5588
0.1,3.3,0,13.5654
0.1,3.4,0,13.5721
0.1,3.5,0,13.5779
0.1,3.6,0,13.5851
0.1,3.7,0,13.5908
0.1,3.8,0,13.5969
0.1,3.9,0,13.6028
0.1,4,0,13.6084
0.1,4.1,0,13.6136
0.1,4.2,0,13.6204
0.1,4.3,0,13.6259
0.1,4.4,0,13.6323
0.1,4.5,0,13.6413
0.1,4.6,0,13.6432
0.1,4.7,0,13.6528
0.1,4.8,0,13.6572
0.1,4.9,0,13.6602
0.1,5,0,13.6671
0.1,5.1,0,13.6684
0.1,5.2,0,13.6701
0.1,5.3,0,13.6723
0.1,5.4,0,13.6736
0.1,5.5,0,13.6732
0.1,5.6,0,13.6705
0.1,5.7,0,13.6655
0.1,5.8,0,13.6585
0.1,5.9,0,13.651
0.1,6,0,13.6418
0.1,6.1,0,13.6379
0.1,6.2,0,13.6277
0.1,6.3,0,13.6143
0.1,6.4,0,13.6048
0.1,6.5,0,13.5953
0.1,6.6,0,13.5814
0.1,6.7,0,13.5684
0.1,6.8,0,13.5576
0.1,6.9,0,13.545
0.1,7,0,13.5324
0.1,7.1,0,13.5201
0.1,7.2,0,13.5078
0.1,7.3,0,13.4955
0.1,7.4,0,13.4826
0.1,7.5,0,13.4697
0.1,7.6,0,13.4579
0.1,7.7,0,13.4456
0.1,7.8,0,13.4319
0.1,7.9,0,13.4194
0.1,8,0,13.407
0.1,8.1,0,13.3937
0.1,8.2,0,13.3809
0.1,8.3,0,13.3684
0.1,8.4,0,13.3558
0.1,8.5,0,13.3433
0.1,8.6,0,13.3311
0.1,8.7,0,13.3191
0.1,8.8,0,13.3074
0.1,8.9,0,13.2959
0.1,9,0,13.2845
0.1,9.1,0,13.2739
0.1,9.2,0,13.2635
0.1,9.3,0,13.2531
0.1,9.4,0,13.2435
0.1,9.5,0,13.2344
0.1,9.6,0,13.2255
0.1,9.7,0,13.2168
0.1,9.8,0,13.2094
0.1,9.9,0,13.202
0.1,10,0,13.1947
0.1,10.1,0,13.1888
0.1,10.2,0,13.1832
0.1,10.3,0,13.1777
0.1,10.4,0,13.1731
0.1,10.5,0,13.1694
0.1,10.6,0,13.1659
0.1,10.7,0,13.1626
0.1,10.8,0,13.1615
0.1,10.9,0,13.1606
0.1,11,0,13.1596
0.1,11.1,0,13.1602
0.1,11.2,0,13.1614
0.1,11.3,0,13.1629
0.1,11.4,0,13.166
0.1,11.5,0,13.1717
0.1,11.6,0,13.1781
0.1,11.7,0,13.1845
0.1,11.8,0,13.192
0.1,11.9,0,13.2006
0.1,12,0,13.2096
0.1,12.1,0,13.2265
0.1,12.2,0,13.2495
0.1,12.3,0,13.2775
0.1,12.4,0,13.3018
0.1,12.5,0,13.3194
0.1,12.6,0,13.3437
0.1,12.7,0,13.3679
0.2,0,0,13.7146
0.2,0.1,0,13.6881
0.2,0.2,0,13.6616
0.2,0.3,0,13.6257
0.2,0.4,0,13.5929
0.2,0.5,0,13.5526
0.2,0.6,0,13.5373
0.2,0.7,0,13.5219
0.2,0.8,0,13.5057
0.2,0.9,0,13.4924
0.2,1,0,13.478
0.2,1.1,0,13.4709
0.2,1.2,0,13.4638
0.2,1.3,0,13.4577
0.2,1.4,0,13.4537
0.2,1.5,0,13.4495
0.2,1.6,0,13.4483
0.2,1.7,0,13.4472
0.2,1.8,0,13.447
0.2,1.9,0,13.4481
0.2,2,0,13.4491
0.2,2.1,0,13.4521
0.2,2.2,0,13.455
0.2,2.3,0,13.4585
0.2,2.4,0,13.463
0.2,2.5,0,13.4672
0.2,2.6,0,13.4728
0.2,2.7,0,13.4785
0.2,2.8,0,13.4842
0.2,2.9,0,13.4908
0.2,3,0,13.4969
0.2,3.1,0,13.5041
0.2,3.2,0,13.5113
0.2,3.3,0,13.5179
0.2,3.4,0,13.5254
0.2,3.5,0,13.5321
0.2,3.6,0,13.5392
0.2,3.7,0,13.5464
0.2,3.8,0,13.5524
0.2,3.9,0,13.5587
0.2,4,0,13.5647
0.2,4.1,0,13.5698
0.2,4.2,0,13.575
0.2,4.3,0,13.5804
0.2,4.4,0,13.5844
0.2,4.5,0,13.5909
0.2,4.6,0,13.5929
0.2,4.7,0,13.5949
0.2,4.8,0,13.5992
0.2,4.9,0,13.5984
0.2,5,0,13.6014
0.2,5.1,0,13.5999
0.2,5.2,0,13.5997
0.2,5.3,0,13.6002
0.2,5.4,0,13.6004
0.2,5.5,0,13.5994
0.2,5.6,0,13.5966
0.2,5.7,0,13.592
0.2,5.8,0,13.586
0.2,5.9,0,13.5797
0.2,6,0,13.5728
0.2,6.1,0,13.5689
0.2,6.2,0,13.5651
0.2,6.3,0,13.5582
0.2,6.4,0,13.5486
0.2,6.5,0,13.5412
0.2,6.6,0,13.5338
0.2,6.7,0,13.521
0.2,6.8,0,13.5102
0.2,6.9,0,13.4995
0.2,7,0,13.4875
0.2,7.1,0,13.4752
0.2,7.2,0,13.4629
0.2,7.3,0,13.4506
0.2,7.4,0,13.4377
0.2,7.5,0,13.4244
0.2,7.6,0,13.4112
0.2,7.7,0,13.3987
0.2,7.8,0,13.3851
0.2,7.9,0,13.3714
0.2,8,0,13.3584
0.2,8.1,0,13.3452
0.2,8.2,0,13.3318
0.2,8.3,0,13.3186
0.2,8.4,0,13.3061
0.2,8.5,0,13.2934
0.2,8.6,0,13.2807
0.2,8.7,0,13.2686
0.2,8.8,0,13.2569
0.2,8.9,0,13.2452
0.2,9,0,13.2336
0.2,9.1,0,13.223
0.2,9.2,0,13.2125
0.2,9.3,0,13.2021
0.2,9.4,0,13.1924
0.2,9.5,0,13.1834
0.2,9.6,0,13.1743
0.2,9.7,0,13.1656
0.2,9.8,0,13.1582
0.2,9.9,0,13.1508
0.2,10,0,13.1434
0.2,10.1,0,13.1375
0.2,10.2,0,13.1319
0.2,10.3,0,13.1264
0.2,10.4,0,13.1217
0.2,10.5,0,13.1181
0.2,10.6,0,13.1144
0.2,10.7,0,13.1111
0.2,10.8,0,13.11
0.2,10.9,0,13.109
0.2,11,0,13.1079
0.2,11.1,0,13.1085
0.2,11.2,0,13.1096
0.2,11.3,0,13.1108
0.2,11.4,0,13.1139
0.2,11.5,0,13.1195
0.2,11.6,0,13.1251
0.2,11.7,0,13.1314
0.2,11.8,0,13.1389
0.2,11.9,0,13.1464
0.2,12,0,13.1545
0.2,12.1,0,13.1714
0.2,12.2,0,13.1917
0.2,12.3,0,13.2121
0.2,12.4,0,13.2364
0.2,12.5,0,13.254
0.2,12.6,0,13.2715
0.2,12.7,0,13.2935
0.3,0,0,13.5806
0.3,0.1,0,13.563
0.3,0.2,0,13.5365
0.3,0.3,0,13.5177
0.3,0.4,0,13.4849
0.3,0.5,0,13.4521
0.3,0.6,0,13.4402
0.3,0.7,0,13.4249
0.3,0.8,0,13.4129
0.3,0.9,0,13.3996
0.3,1,0,13.3863
0.3,1.1,0,13.3804
0.3,1.2,0,13.3734
0.3,1.3,0,13.3685
0.3,1.4,0,13.3645
0.3,1.5,0,13.3605
0.3,1.6,0,13.3598
0.3,1.7,0,13.3587
0.3,1.8,0,13.359
0.3,1.9,0,13.3602
0.3,2,0,13.3613
0.3,2.1,0,13.3646
0.3,2.2,0,13.3675
0.3,2.3,0,13.3715
0.3,2.4,0,13.376
0.3,2.5,0,13.3804
0.3,2.6,0,13.3864
0.3,2.7,0,13.3921
0.3,2.8,0,13.3985
0.3,2.9,0,13.4051
0.3,3,0,13.4117
0.3,3.1,0,13.4193
0.3,3.2,0,13.4265
0.3,3.3,0,13.4342
0.3,3.4,0,13.4417
0.3,3.5,0,13.4491
0.3,3.6,0,13.4566
0.3,3.7,0,13.4638
0.3,3.8,0,13.4706
0.3,3.9,0,13.4769
0.3,4,0,13.4832
0.3,4.1,0,13.488
0.3,4.2,0,13.4932
0.3,4.3,0,13.4968
0.3,4.4,0,13.5009
0.3,4.5,0,13.5049
0.3,4.6,0,13.5051
0.3,4.7,0,13.507
0.3,4.8,0,13.5063
0.3,4.9,0,13.5054
0.3,5,0,13.5046
0.3,5.1,0,13.5015
0.3,5.2,0,13.5003
0.3,5.3,0,13.4999
0.3,5.4,0,13.4994
0.3,5.5,0,13.4979
0.3,5.6,0,13.4951
0.3,5.7,0,13.4908
0.3,5.8,0,13.4855
0.3,5.9,0,13.4799
0.3,6,0,13.4741
0.3,6.1,0,13.4721
0.3,6.2,0,13.4682
0.3,6.3,0,13.4644
0.3,6.4,0,13.4602
0.3,6.5,0,13.4529
0.3,6.6,0,13.4455
0.3,6.7,0,13.4373
