x,y,z,U_0,U_1,U_2
0,0,0,2.99809,-0.00706225,-1.49135e-12
0,0.1,0,2.99848,-0.00561643,-1.18603e-12
0,0.2,0,2.99887,-0.00417062,-8.80717e-13
0,0.3,0,2.99926,-0.0027248,-5.75402e-13
0,0.4,0,2.99965,-0.00127899,-2.70086e-13
0,0.5,0,3,-3.41533e-19,1.78839e-27
0,0.6,0,3,-4.09839e-19,2.14607e-27
0,0.7,0,3,-4.78146e-19,2.50375e-27
0,0.8,0,3,-5.46452e-19,2.86143e-27
0,0.9,0,3,-6.14759e-19,3.2191e-27
0,1,0,3,-6.83065e-19,3.57678e-27
0,1.1,0,3,-7.51372e-19,3.93446e-27
0,1.2,0,3,-8.19678e-19,4.29214e-27
0,1.3,0,3,-8.87985e-19,4.64982e-27
0,1.4,0,3,-9.56291e-19,5.00749e-27
0,1.5,0,3,-1.0561e-18,2.52057e-27
0,1.6,0,3,-1.1265e-18,2.68861e-27
0,1.7,0,3,-1.19691e-18,2.85665e-27
0,1.8,0,3,-1.26732e-18,3.02469e-27
0,1.9,0,3,-1.33772e-18,3.19273e-27
0,2,0,3,-9.46086e-19,8.45507e-27
0,2.1,0,3,-9.9339e-19,8.87782e-27
0,2.2,0,3,-1.04069e-18,9.30058e-27
0,2.3,0,3,-1.088e-18,9.72333e-27
0,2.4,0,3,-1.1353e-18,1.01461e-26
0,2.5,0,3,-1.37729e-18,2.0991e-26
0,2.6,0,3,-1.43238e-18,2.18306e-26
0,2.7,0,3,-1.48747e-18,2.26703e-26
0,2.8,0,3,-1.54256e-18,2.35099e-26
0,2.9,0,3,-1.59765e-18,2.43496e-26
0,3,0,3,-1.95425e-18,2.33346e-26
0,3.1,0,3,-2.01939e-18,2.41124e-26
0,3.2,0,3,-2.08453e-18,2.48902e-26
0,3.3,0,3,-2.14967e-18,2.5668e-26
0,3.4,0,3,-2.21481e-18,2.64459e-26
0,3.5,0,3,-1.53942e-18,2.76565e-26
0,3.6,0,3,-1.58341e-18,2.84467e-26
0,3.7,0,3,-1.62739e-18,2.92369e-26
0,3.8,0,3,-1.67137e-18,3.00271e-26
0,3.9,0,3,-1.71536e-18,3.08173e-26
0,4,0,3,-1.91184e-18,3.0954e-26
0,4.1,0,3,-1.95964e-18,3.17278e-26
0,4.2,0,3,-2.00744e-18,3.25017e-26
0,4.3,0,3,-2.05523e-18,3.32755e-26
0,4.4,0,3,-1.77979e-18,3.1383e-26
0,4.5,0,3,-1.82024e-18,3.20963e-26
0,4.6,0,3,-1.86069e-18,3.28095e-26
0,4.7,0,3,-1.90114e-18,3.35228e-26
0,4.8,0,3,-1.94158e-18,3.4236e-26
0,4.9,0,3,-1.22349e-18,3.28379e-26
0,5,0,3,-1.24846e-18,3.35081e-26
0,5.1,0,3,-1.27343e-18,3.41782e-26
0,5.2,0,3,-1.2984e-18,3.48484e-26
0,5.3,0,3,-1.32337e-18,3.55186e-26
0,5.4,0,3,-7.21351e-19,2.61433e-26
0,5.5,0,3,-7.34709e-19,2.66275e-26
0,5.6,0,3,-7.48068e-19,2.71116e-26
0,5.7,0,3,-7.61426e-19,2.75957e-26
0,5.8,0,3,-7.74784e-19,2.80799e-26
0,5.9,0,3,-3.78021e-19,2.6521e-26
0,6,0,3,-3.84428e-19,2.69705e-26
0,6.1,0,3,-3.90835e-19,2.742e-26
0,6.2,0,3,-3.97243e-19,2.78695e-26
0,6.3,0,3,-4.0365e-19,2.8319e-26
0,6.4,0,3,1.74224e-20,3.03182e-26
0,6.5,0,3,1.76947e-20,3.07919e-26
0,6.6,0,3,1.79669e-20,3.12656e-26
0,6.7,0,3,1.82391e-20,3.17393e-26
0,6.8,0,3,1.85114e-20,3.22131e-26
0,6.9,0,3,8.16805e-19,2.96148e-26
0,7,0,3,8.28643e-19,3.0044e-26
0,7.1,0,3,8.40481e-19,3.04732e-26
0,7.2,0,3,8.52319e-19,3.09024e-26
0,7.3,0,3,8.64156e-19,3.13316e-26
0,7.4,0,3,1.46431e-18,4.04596e-26
0,7.5,0,3,1.4841e-18,4.10064e-26
0,7.6,0,3,1.50389e-18,4.15531e-26
0,7.7,0,3,1.52368e-18,4.20999e-26
0,7.8,0,3,1.54347e-18,4.26466e-26
0,7.9,0,3,1.9967e-18,6.83844e-26
0,8,0,3,2.02198e-18,6.925e-26
0,8.1,0,3,2.04725e-18,7.01156e-26
0,8.2,0,3,2.07253e-18,7.09813e-26
0,8.3,0,3,2.0978e-18,7.18469e-26
0,8.4,0,3,3.04953e-18,6.97108e-26
0,8.5,0,3,3.08583e-18,7.05407e-26
0,8.6,0,3,3.12214e-18,7.13706e-26
0,8.7,0,3,3.15844e-18,7.22005e-26
0,8.8,0,3,3.53164e-18,5.71642e-26
0,8.9,0,3,3.57177e-18,5.78138e-26
0,9,0,3,3.6119e-18,5.84634e-26
0,9.1,0,3,3.65203e-18,5.9113e-26
0,9.2,0,3,3.69217e-18,5.97626e-26
0,9.3,0,3,4.64224e-18,5.75066e-26
0,9.4,0,3,4.69216e-18,5.81249e-26
0,9.5,0,3,4.74208e-18,5.87433e-26
0,9.6,0,3,4.79199e-18,5.93616e-26
0,9.7,0,3,4.84191e-18,5.998e-26
0,9.8,0,3,6.69659e-18,5.28952e-26
0,9.9,0,3,6.76493e-18,5.3435e-26
0,10,0,3,6.83326e-18,5.39747e-26
0,10.1,0,3,6.90159e-18,5.45145e-26
0,10.2,0,3,6.96993e-18,5.50542e-26
0,10.3,0,3,5.40658e-18,6.00261e-26
0,10.4,0,3,5.45907e-18,6.06089e-26
0,10.5,0,3,5.51156e-18,6.11916e-26
0,10.6,0,3,5.56405e-18,6.17744e-26
0,10.7,0,3,5.61654e-18,6.23572e-26
0,10.8,0,3,7.61416e-18,6.22566e-26
0,10.9,0,3,7.68466e-18,6.2833e-26
0,11,0,3,7.75517e-18,6.34095e-26
0,11.1,0,3,7.82567e-18,6.39859e-26
0,11.2,0,3,7.89617e-18,6.45624e-26
0,11.3,0,3,9.49886e-18,4.40302e-26
0,11.4,0,3,9.58292e-18,4.44198e-26
0,11.5,0,3,9.66698e-18,4.48095e-26
0,11.6,0,3,9.75104e-18,4.51991e-26
0,11.7,0,3,9.8351e-18,4.55888e-26
0,11.8,0,3,9.91916e-18,4.59784e-26
0,11.9,0,3,1.00032e-17,4.63681e-26
0,12,0,3,1.00873e-17,4.67577e-26
0,12.1,0,3,1.01713e-17,4.71474e-26
0,12.2,0,3,1.02554e-17,4.7537e-26
0,12.3,0,2.99974,0.00203732,1.84999e-12
0,12.4,0,2.99945,0.00434039,3.94129e-12
0,12.5,0,2.99916,0.00664345,6.03258e-12
0,12.6,0,2.99887,0.00894651,8.12388e-12
0,12.7,0,2.99858,0.0112496,1.02152e-11
0.1,0,0,2.99833,-0.00695928,-6.53078e-13
0.1,0.1,0,2.9984,-0.00753618,6.45532e-12
0.1,0.2,0,2.99879,-0.00609037,6.76063e-12
0.1,0.3,0,2.99918,-0.00464455,7.06595e-12
0.1,0.4,0,2.99958,-0.00319874,7.37126e-12
0.1,0.5,0,2.99997,-0.00201408,8.39212e-12
0.1,0.6,0,3.00033,-0.00262356,1.37379e-11
0.1,0.7,0,3.00033,-0.00262356,1.37379e-11
0.1,0.8,0,3.00033,-0.00262356,1.37379e-11
0.1,0.9,0,3.00033,-0.00262356,1.37379e-11
0.1,1,0,3.00033,-0.00262356,1.37379e-11
0.1,1.1,0,3.00033,-0.00262356,1.37379e-11
0.1,1.2,0,3.00033,-0.00262356,1.37379e-11
0.1,1.3,0,3.00033,-0.00262356,1.37379e-11
0.1,1.4,0,3.0003,-0.00265024,1.13291e-11
0.1,1.5,0,3.00023,-0.00270422,6.45412e-12
0.1,1.6,0,3.00023,-0.00270422,6.45412e-12
0.1,1.7,0,3.00023,-0.00270422,6.45412e-12
0.1,1.8,0,3.00023,-0.00270422,6.45412e-12
0.1,1.9,0,2.99982,-0.00230597,1.0845e-11
0.1,2,0,2.99931,-0.00181689,1.62374e-11
0.1,2.1,0,2.99931,-0.00181689,1.62374e-11
0.1,2.2,0,2.99931,-0.00181689,1.62374e-11
0.1,2.3,0,2.99931,-0.00181689,1.62374e-11
0.1,2.4,0,2.99947,-0.00198646,2.53151e-11
0.1,2.5,0,2.9996,-0.00211599,3.22495e-11
0.1,2.6,0,2.9996,-0.00211599,3.22495e-11
0.1,2.7,0,2.9996,-0.00211599,3.22495e-11
0.1,2.8,0,2.9996,-0.00211599,3.22495e-11
0.1,2.9,0,2.99983,-0.00238042,3.06229e-11
0.1,3,0,2.99994,-0.002502,2.9875e-11
0.1,3.1,0,2.99994,-0.002502,2.9875e-11
0.1,3.2,0,2.99994,-0.002502,2.9875e-11
0.1,3.3,0,2.99994,-0.002502,2.9875e-11
0.1,3.4,0,2.99947,-0.00184932,3.02565e-11
0.1,3.5,0,2.99935,-0.00168935,3.035e-11
0.1,3.6,0,2.99935,-0.00168935,3.035e-11
0.1,3.7,0,2.99935,-0.00168935,3.035e-11
0.1,3.8,0,2.99935,-0.00168935,3.035e-11
0.1,3.9,0,2.9997,-0.00182425,2.97719e-11
