x,y,z,p
0,0,0,0.0102481
0,0.1,0,0.0164078
0,0.2,0,0.0225675
0,0.3,0,0.0287272
0,0.4,0,0.0348869
0,0.5,0,0.0412499
0,0.6,0,0.0491709
0,0.7,0,0.0570919
0,0.8,0,0.065013
0,0.9,0,0.072934
0,1,0,0.0807662
0,1.1,0,0.088302
0,1.2,0,0.0958379
0,1.3,0,0.103374
0,1.4,0,0.11091
0,1.5,0,0.118337
0,1.6,0,0.125561
0,1.7,0,0.132785
0,1.8,0,0.140009
0,1.9,0,0.147233
0,2,0,0.154254
0,2.1,0,0.16104
0,2.2,0,0.167825
0,2.3,0,0.17461
0,2.4,0,0.181396
0,2.5,0,0.187884
0,2.6,0,0.194155
0,2.7,0,0.200427
0,2.8,0,0.206698
0,2.9,0,0.212969
0,3,0,0.218822
0,3.1,0,0.22449
0,3.2,0,0.230157
0,3.3,0,0.235825
0,3.4,0,0.241492
0,3.5,0,0.246552
0,3.6,0,0.251466
0,3.7,0,0.256381
0,3.8,0,0.261296
0,3.9,0,0.26621
0,4,0,0.270521
0,4.1,0,0.274782
0,4.2,0,0.279043
0,4.3,0,0.283303
0,4.4,0,0.287535
0,4.5,0,0.291034
0,4.6,0,0.294534
0,4.7,0,0.298034
0,4.8,0,0.301533
0,4.9,0,0.304866
0,5,0,0.307284
0,5.1,0,0.309701
0,5.2,0,0.312119
0,5.3,0,0.314536
0,5.4,0,0.316676
0,5.5,0,0.318063
0,5.6,0,0.319449
0,5.7,0,0.320835
0,5.8,0,0.322221
0,5.9,0,0.322972
0,6,0,0.322707
0,6.1,0,0.322442
0,6.2,0,0.322176
0,6.3,0,0.321911
0,6.4,0,0.321201
0,6.5,0,0.320046
0,6.6,0,0.318891
0,6.7,0,0.317735
0,6.8,0,0.31658
0,6.9,0,0.315547
0,7,0,0.314591
0,7.1,0,0.313635
0,7.2,0,0.312678
0,7.3,0,0.311722
0,7.4,0,0.310114
0,7.5,0,0.308267
0,7.6,0,0.306419
0,7.7,0,0.304572
0,7.8,0,0.302724
0,7.9,0,0.299946
0,8,0,0.296999
0,8.1,0,0.294051
0,8.2,0,0.291104
0,8.3,0,0.288157
0,8.4,0,0.284372
0,8.5,0,0.280553
0,8.6,0,0.276734
0,8.7,0,0.272916
0,8.8,0,0.269027
0,8.9,0,0.264297
0,9,0,0.259567
