x,y,z,U_0,U_1,U_2
0,0,0,1.5,0,0
0,0.1,0,2.1,0,0
0,0.2,0,2.7,0,0
0,0.3,0,3,0,0
0,0.4,0,3,0,0
0,0.5,0,3,0,0
0,0.6,0,3,0,0
0,0.7,0,3,0,0
0,0.8,0,3,0,0
0,0.9,0,3,0,0
0,1,0,3,0,0
0,1.1,0,3,0,0
0,1.2,0,3,0,0
0,1.3,0,3,0,0
0,1.4,0,3,0,0
0,1.5,0,3,0,0
0,1.6,0,3,0,0
0,1.7,0,3,0,0
0,1.8,0,3,0,0
0,1.9,0,3,0,0
0,2,0,3,0,0
0,2.1,0,3,0,0
0,2.2,0,3,0,0
0,2.3,0,3,0,0
0,2.4,0,3,0,0
0,2.5,0,3,0,0
0,2.6,0,3,0,0
0,2.7,0,3,0,0
0,2.8,0,3,0,0
0,2.9,0,3,0,0
0,3,0,3,0,0
0,3.1,0,3,0,0
0,3.2,0,3,0,0
0,3.3,0,3,0,0
0,3.4,0,3,0,0
0,3.5,0,3,0,0
0,3.6,0,3,0,0
0,3.7,0,3,0,0
0,3.8,0,3,0,0
0,3.9,0,3,0,0
0,4,0,3,0,0
0,4.1,0,3,0,0
0,4.2,0,3,0,0
0,4.3,0,3,0,0
0,4.4,0,3,0,0
0,4.5,0,3,0,0
0,4.6,0,3,0,0
0,4.7,0,3,0,0
0,4.8,0,3,0,0
0,4.9,0,3,0,0
0,5,0,3,0,0
0,5.1,0,3,0,0
0,5.2,0,3,0,0
0,5.3,0,3,0,0
0,5.4,0,3,0,0
0,5.5,0,3,0,0
0,5.6,0,3,0,0
0,5.7,0,3,0,0
0,5.8,0,3,0,0
0,5.9,0,3,0,0
0,6,0,3,0,0
0,6.1,0,3,0,0
0,6.2,0,3,0,0
0,6.3,0,3,0,0
0,6.4,0,3,0,0
0,6.5,0,3,0,0
0,6.6,0,3,0,0
0,6.7,0,3,0,0
0,6.8,0,3,0,0
0,6.9,0,3,0,0
0,7,0,3,0,0
0,7.1,0,3,0,0
0,7.2,0,3,0,0
0,7.3,0,3,0,0
0,7.4,0,3,0,0
0,7.5,0,3,0,0
0,7.6,0,3,0,0
0,7.7,0,3,0,0
0,7.8,0,3,0,0
0,7.9,0,3,0,0
0,8,0,3,0,0
0,8.1,0,3,0,0
0,8.2,0,3,0,0
0,8.3,0,3,0,0
0,8.4,0,3,0,0
0,8.5,0,3,0,0
0,8.6,0,3,0,0
0,8.7,0,3,0,0
0,8.8,0,3,0,0
0,8.9,0,3,0,0
0,9,0,3,0,0
0,9.1,0,3,0,0
0,9.2,0,3,0,0
0,9.3,0,3,0,0
0,9.4,0,3,0,0
0,9.5,0,3,0,0
0,9.6,0,3,0,0
0,9.7,0,3,0,0
0,9.8,0,3,0,0
0,9.9,0,3,0,0
0,10,0,3,0,0
0,10.1,0,3,0,0
0,10.2,0,3,0,0
0,10.3,0,3,0,0
0,10.4,0,3,0,0
0,10.5,0,3,0,0
0,10.6,0,3,0,0
0,10.7,0,3,0,0
0,10.8,0,3,0,0
0,10.9,0,3,0,0
0,11,0,3,0,0
0,11.1,0,3,0,0
0,11.2,0,3,0,0
0,11.3,0,3,0,0
0,11.4,0,3,0,0
0,11.5,0,3,0,0
0,11.6,0,3,0,0
0,11.7,0,3,0,0
0,11.8,0,3,0,0
0,11.9,0,3,0,0
0,12,0,3,0,0
0,12.1,0,3,0,0
0,12.2,0,3,0,0
0,12.3,0,3,0,0
0,12.4,0,2.82294,0,0
0,12.5,0,2.31704,0,0
0,12.6,0,1.81115,0,0
0,12.7,0,1.30525,0,0
0.1,0,0,0.9,0,0
0.1,0.1,0,2.10877,0.0139716,-7.5e-08
0.1,0.2,0,2.70877,0.0139716,-7.5e-08
0.1,0.3,0,3.0139,0.0124552,-6.75e-08
0.1,0.4,0,3.01904,0.0109389,-6e-08
0.1,0.5,0,3.01904,0.0109389,-6e-08
0.1,0.6,0,3.01789,0.00581164,-1.21432e-18
0.1,0.7,0,3.01789,0.00581164,-1.21431e-18
0.1,0.8,0,3.01753,0.00492121,-2.5e-09
0.1,0.9,0,3.01716,0.00403079,-5e-09
0.1,1,0,3.01716,0.00403079,-5e-09
0.1,1.1,0,3.0168,0.00228381,-1e-08
0.1,1.2,0,3.0168,0.00228381,-1e-08
0.1,1.3,0,3.01671,0.00174863,2.5e-09
0.1,1.4,0,3.01662,0.00121345,1.5e-08
0.1,1.5,0,3.01662,0.00121345,1.5e-08
0.1,1.6,0,3.01651,0.000347718,3.5e-08
0.1,1.7,0,3.01651,0.000347718,3.5e-08
0.1,1.8,0,3.01648,8.1023e-06,2.5e-08
0.1,1.9,0,3.01644,-0.000331514,1.5e-08
0.1,2,0,3.01644,-0.000331514,1.5e-08
0.1,2.1,0,3.01638,-0.000874802,1.5e-08
0.1,2.2,0,3.01638,-0.000874802,1.5e-08
0.1,2.3,0,3.01636,-0.00109348,4.25e-08
0.1,2.4,0,3.01633,-0.00131216,7e-08
0.1,2.5,0,3.01633,-0.00131216,7e-08
0.1,2.6,0,3.01628,-0.00165287,5e-08
0.1,2.7,0,3.01628,-0.00165287,5e-08
0.1,2.8,0,3.01626,-0.00177571,3.75e-08
0.1,2.9,0,3.01624,-0.00189855,2.5e-08
0.1,3,0,3.01624,-0.00189855,2.5e-08
0.1,3.1,0,3.01621,-0.00204685,4.5e-08
0.1,3.2,0,3.01621,-0.00204685,4.5e-08
0.1,3.3,0,3.0162,-0.00206688,4.25e-08
0.1,3.4,0,3.01618,-0.00208692,4e-08
0.1,3.5,0,3.01618,-0.00208692,4e-08
0.1,3.6,0,3.01616,-0.00200476,4e-08
0.1,3.7,0,3.01616,-0.00200476,4e-08
0.1,3.8,0,3.01614,-0.00187858,5e-08
0.1,3.9,0,3.01612,-0.00175241,6e-08
0.1,4,0,3.01612,-0.00175241,6e-08
0.1,4.1,0,3.01595,-0.00138157,6.5e-08
0.1,4.2,0,3.01595,-0.00138157,6.5e-08
0.1,4.3,0,3.01575,-0.0011059,5e-08
0.1,4.4,0,3.01554,-0.000830215,3.5e-08
0.1,4.5,0,3.01554,-0.000830215,3.5e-08
0.1,4.6,0,3.01466,-0.000639181,1e-08
0.1,4.7,0,3.01466,-0.000639181,1e-08
0.1,4.8,0,3.0146,-0.000766484,2.68375e-08
0.1,4.9,0,3.01454,-0.000893788,4.3675e-08
0.1,5,0,3.01454,-0.000893788,4.3675e-08
0.1,5.1,0,3.01513,-0.000806097,8.5e-08
0.1,5.2,0,3.01547,-0.000499762,1.1e-07
0.1,5.3,0,3.0157,-0.000177716,1.1e-07
0.1,5.4,0,3.01585,0.000180726,8.5e-08
0.1,5.5,0,3.01592,0.000560578,6e-08
0.1,5.6,0,3.0159,0.00094576,4e-08
