x,y,z,p
0,0,0,13.7838
0,0.1,0,13.7447
0,0.2,0,13.7056
0,0.3,0,13.6621
0,0.4,0,13.6141
0,0.5,0,13.5663
0,0.6,0,13.547
0,0.7,0,13.5278
0,0.8,0,13.5104
0,0.9,0,13.4948
0,1,0,13.4793
0,1.1,0,13.4711
0,1.2,0,13.4628
0,1.3,0,13.4564
0,1.4,0,13.4518
0,1.5,0,13.4472
0,1.6,0,13.4457
0,1.7,0,13.4441
0,1.8,0,13.4437
0,1.9,0,13.4445
0,2,0,13.4453
0,2.1,0,13.4479
0,2.2,0,13.4504
0,2.3,0,13.4537
0,2.4,0,13.4576
0,2.5,0,13.4616
0,2.6,0,13.4665
0,2.7,0,13.4713
0,2.8,0,13.4765
0,2.9,0,13.482
0,3,0,13.4875
0,3.1,0,13.4931
0,3.2,0,13.4989
0,3.3,0,13.5046
0,3.4,0,13.5103
0,3.5,0,13.5161
0,3.6,0,13.5218
0,3.7,0,13.5275
0,3.8,0,13.5332
0,3.9,0,13.5387
0,4,0,13.5443
0,4.1,0,13.5511
0,4.2,0,13.5579
0,4.3,0,13.5657
0,4.4,0,13.5746
0,4.5,0,13.5835
0,4.6,0,13.5931
0,4.7,0,13.6027
0,4.8,0,13.6109
0,4.9,0,13.6178
0,5,0,13.6247
0,5.1,0,13.629
0,5.2,0,13.6326
0,5.3,0,13.6364
0,5.4,0,13.6389
0,5.5,0,13.6392
0,5.6,0,13.6365
0,5.7,0,13.631
0,5.8,0,13.6231
0,5.9,0,13.6143
0,6,0,13.6028
0,6.1,0,13.5893
0,6.2,0,13.5758
0,6.3,0,13.5623
0,6.4,0,13.5485
0,6.5,0,13.5346
0,6.6,0,13.5206
0,6.7,0,13.5071
0,6.8,0,13.4946
0,6.9,0,13.482
0,7,0,13.4695
0,7.1,0,13.4573
0,7.2,0,13.4451
0,7.3,0,13.4329
0,7.4,0,13.4209
0,7.5,0,13.4092
0,7.6,0,13.3974
0,7.7,0,13.3855
0,7.8,0,13.3732
0,7.9,0,13.3609
0,8,0,13.3486
0,8.1,0,13.3363
0,8.2,0,13.3239
0,8.3,0,13.3116
0,8.4,0,13.2994
0,8.5,0,13.2873
0,8.6,0,13.2752
0,8.7,0,13.2633
0,8.8,0,13.252
0,8.9,0,13.2406
0,9,0,13.2293
0,9.1,0,13.2189
0,9.2,0,13.2087
0,9.3,0,13.1984
0,9.4,0,13.1889
0,9.5,0,13.18
0,9.6,0,13.1712
0,9.7,0,13.1626
0,9.8,0,13.1553
0,9.9,0,13.1481
0,10,0,13.1408
0,10.1,0,13.1351
0,10.2,0,13.1296
0,10.3,0,13.1242
0,10.4,0,13.1196
0,10.5,0,13.1162
0,10.6,0,13.1127
0,10.7,0,13.1095
0,10.8,0,13.1086
0,10.9,0,13.1078
0,11,0,13.1069
0,11.1,0,13.1078
0,11.2,0,13.1093
0,11.3,0,13.1108
0,11.4,0,13.1142
0,11.5,0,13.1207
0,11.6,0,13.1272
0,11.7,0,13.1338
0,11.8,0,13.1428
0,11.9,0,13.1518
0,12,0,13.1608
0,12.1,0,13.1831
0,12.2,0,13.211
0,12.3,0,13.239
0,12.4,0,13.2657
0,12.5,0,13.29
0,12.6,0,13.3142
0,12.7,0,13.3385
0.1,0,0,13.696
0.1,0.1,0,13.6695
0.1,0.2,0,13.6304
0.1,0.3,0,13.5944
0.1,0.4,0,13.5541
0.1,0.5,0,13.5062
0.1,0.6,0,13.4909
0.1,0.7,0,13.4716
0.1,0.8,0,13.4554
0.1,0.9,0,13.441
0.1,1,0,13.4254
0.1,1.1,0,13.4183
0.1,1.2,0,13.4101
0.1,1.3,0,13.4039
0.1,1.4,0,13.3996
0.1,1.5,0,13.395
0.1,1.6,0,13.3938
0.1,1.7,0,13.3923
0.1,1.8,0,13.3921
0.1,1.9,0,13.393
0.1,2,0,13.3938
0.1,2.1,0,13.3967
0.1,2.2,0,13.3992
0.1,2.3,0,13.4027
0.1,2.4,0,13.4069
0.1,2.5,0,13.4108
0.1,2.6,0,13.4164
0.1,2.7,0,13.4213
0.1,2.8,0,13.427
