x,y,z,U_0,U_1,U_2
0,0,0,0.299997,-0.00029416,0
0,0.1,0,0.299998,-0.000233938,-1.99217e-41
0,0.2,0,0.299998,-0.000173717,-3.98435e-41
0,0.3,0,0.299999,-0.000113495,-5.97652e-41
0,0.4,0,0.299999,-5.32731e-05,-7.9687e-41
0,0.5,0,0.3,-2.97815e-20,6.49947e-31
0,0.6,0,0.3,-3.57378e-20,7.79937e-31
0,0.7,0,0.3,-4.16941e-20,9.09926e-31
0,0.8,0,0.3,-4.76504e-20,1.03992e-30
0,0.9,0,0.3,-5.36067e-20,1.1699e-30
0,1,0,0.3,-5.9563e-20,1.29989e-30
0,1.1,0,0.3,-6.55193e-20,1.42988e-30
0,1.2,0,0.3,-7.14756e-20,1.55987e-30
0,1.3,0,0.3,-7.74319e-20,1.68986e-30
0,1.4,0,0.3,-8.33882e-20,1.81985e-30
0,1.5,0,0.3,-8.6045e-20,3.90537e-30
0,1.6,0,0.3,-9.17813e-20,4.16573e-30
0,1.7,0,0.3,-9.75177e-20,4.42609e-30
0,1.8,0,0.3,-1.03254e-19,4.68644e-30
0,1.9,0,0.3,-1.0899e-19,4.9468e-30
0,2,0,0.3,-1.09229e-19,7.80971e-30
0,2.1,0,0.3,-1.14691e-19,8.2002e-30
0,2.2,0,0.3,-1.20152e-19,8.59068e-30
0,2.3,0,0.3,-1.25614e-19,8.98117e-30
0,2.4,0,0.3,-1.31075e-19,9.37165e-30
0,2.5,0,0.3,-1.27755e-19,1.30179e-29
0,2.6,0,0.3,-1.32865e-19,1.35386e-29
0,2.7,0,0.3,-1.37975e-19,1.40593e-29
0,2.8,0,0.3,-1.43085e-19,1.458e-29
0,2.9,0,0.3,-1.48195e-19,1.51008e-29
0,3,0,0.3,-1.40422e-19,1.56215e-29
0,3.1,0,0.3,-1.45103e-19,1.61422e-29
0,3.2,0,0.3,-1.49784e-19,1.66629e-29
0,3.3,0,0.3,-1.54464e-19,1.71836e-29
0,3.4,0,0.3,-1.59145e-19,1.77043e-29
0,3.5,0,0.3,-1.46193e-19,2.05032e-29
0,3.6,0,0.3,-1.5037e-19,2.1089e-29
0,3.7,0,0.3,-1.54547e-19,2.16748e-29
0,3.8,0,0.3,-1.58724e-19,2.22606e-29
0,3.9,0,0.3,-1.62901e-19,2.28464e-29
0,4,0,0.3,-1.44186e-19,2.86394e-29
0,4.1,0,0.3,-1.47791e-19,2.93554e-29
0,4.2,0,0.3,-1.51396e-19,3.00713e-29
0,4.3,0,0.3,-1.55e-19,3.07873e-29
0,4.4,0,0.3,-1.30959e-19,3.52264e-29
0,4.5,0,0.3,-1.33935e-19,3.6027e-29
0,4.6,0,0.3,-1.36911e-19,3.68276e-29
0,4.7,0,0.3,-1.39888e-19,3.76282e-29
0,4.8,0,0.3,-1.42864e-19,3.84288e-29
0,4.9,0,0.3,-1.12642e-19,4.05052e-29
0,5,0,0.3,-1.1494e-19,4.13318e-29
0,5.1,0,0.3,-1.17239e-19,4.21585e-29
0,5.2,0,0.3,-1.19538e-19,4.29851e-29
0,5.3,0,0.3,-1.21837e-19,4.38117e-29
0,5.4,0,0.3,-8.54738e-20,4.63958e-29
0,5.5,0,0.3,-8.70566e-20,4.7255e-29
0,5.6,0,0.3,-8.86395e-20,4.81142e-29
0,5.7,0,0.3,-9.02223e-20,4.89733e-29
0,5.8,0,0.3,-9.18052e-20,4.98325e-29
0,5.9,0,0.3,-4.96259e-20,5.26118e-29
0,6,0,0.3,-5.0467e-20,5.35036e-29
0,6.1,0,0.3,-5.13081e-20,5.43953e-29
0,6.2,0,0.3,-5.21492e-20,5.5287e-29
0,6.3,0,0.3,-5.29903e-20,5.61787e-29
0,6.4,0,0.3,-5.4437e-21,5.79036e-29
0,6.5,0,0.3,-5.52876e-21,5.88084e-29
0,6.6,0,0.3,-5.61381e-21,5.97131e-29
0,6.7,0,0.3,-5.69887e-21,6.06178e-29
0,6.8,0,0.3,-5.78393e-21,6.15226e-29
0,6.9,0,0.3,4.65562e-20,6.28765e-29
0,7,0,0.3,4.72309e-20,6.37877e-29
0,7.1,0,0.3,4.79056e-20,6.4699e-29
0,7.2,0,0.3,4.85803e-20,6.56102e-29
0,7.3,0,0.3,4.92551e-20,6.65215e-29
0,7.4,0,0.3,1.05658e-19,6.74327e-29
0,7.5,0,0.3,1.07086e-19,6.8344e-29
0,7.6,0,0.3,1.08513e-19,6.92552e-29
0,7.7,0,0.3,1.09941e-19,7.01665e-29
0,7.8,0,0.3,1.11369e-19,7.10777e-29
0,7.9,0,0.3,1.70779e-19,6.68469e-29
0,8,0,0.3,1.7294e-19,6.76931e-29
0,8.1,0,0.3,1.75102e-19,6.85392e-29
0,8.2,0,0.3,1.77264e-19,6.93854e-29
0,8.3,0,0.3,1.79426e-19,7.02316e-29
0,8.4,0,0.3,2.40564e-19,7.10777e-29
0,8.5,0,0.3,2.43428e-19,7.19239e-29
0,8.6,0,0.3,2.46291e-19,7.27701e-29
0,8.7,0,0.3,2.49155e-19,7.36162e-29
0,8.8,0,0.3,3.09602e-19,7.44624e-29
0,8.9,0,0.3,3.1312e-19,7.53085e-29
0,9,0,0.3,3.16638e-19,7.61547e-29
0,9.1,0,0.3,3.20157e-19,7.70009e-29
0,9.2,0,0.3,3.23675e-19,7.7847e-29
0,9.3,0,0.3,3.83022e-19,7.26399e-29
0,9.4,0,0.3,3.8714e-19,7.3421e-29
0,9.5,0,0.3,3.91259e-19,7.4202e-29
0,9.6,0,0.3,3.95377e-19,7.49831e-29
0,9.7,0,0.3,3.99496e-19,7.57642e-29
0,9.8,0,0.3,4.56572e-19,7.01743e-29
0,9.9,0,0.3,4.61231e-19,7.08903e-29
0,10,0,0.3,4.6589e-19,7.16064e-29
0,10.1,0,0.3,4.70549e-19,7.23225e-29
0,10.2,0,0.3,4.75207e-19,7.30385e-29
0,10.3,0,0.3,5.27727e-19,6.03186e-29
0,10.4,0,0.3,5.3285e-19,6.09042e-29
0,10.5,0,0.3,5.37974e-19,6.14898e-29
0,10.6,0,0.3,5.43098e-19,6.20755e-29
0,10.7,0,0.3,5.48221e-19,6.26611e-29
0,10.8,0,0.3,6.00152e-19,5.68574e-29
0,10.9,0,0.3,6.05709e-19,5.73839e-29
0,11,0,0.3,6.11266e-19,5.79103e-29
0,11.1,0,0.3,6.16823e-19,5.84368e-29
0,11.2,0,0.3,6.2238e-19,5.89632e-29
0,11.3,0,0.3,6.99849e-19,3.79507e-29
0,11.4,0,0.3,7.06042e-19,3.82866e-29
0,11.5,0,0.3,7.12235e-19,3.86224e-29
0,11.6,0,0.3,7.18429e-19,3.89583e-29
0,11.7,0,0.3,7.24622e-19,3.92941e-29
0,11.8,0,0.3,7.30816e-19,3.963e-29
0,11.9,0,0.3,7.37009e-19,3.99658e-29
0,12,0,0.3,7.43202e-19,4.03017e-29
0,12.1,0,0.3,7.49396e-19,4.06375e-29
0,12.2,0,0.3,7.55589e-19,4.09734e-29
0,12.3,0,0.3,5.35247e-05,1.35696e-15
0,12.4,0,0.3,0.000114031,2.89092e-15
0,12.5,0,0.3,0.000174537,4.42488e-15
0,12.6,0,0.3,0.000235043,5.95883e-15
0,12.7,0,0.3,0.00029555,7.49279e-15
0.1,0,0,0.299997,-0.000473811,0
0.1,0.1,0,0.299996,-0.000469511,-7.65167e-25
0.1,0.2,0,0.299997,-0.000409289,-7.65167e-25
0.1,0.3,0,0.299997,-0.000349067,-7.65167e-25
0.1,0.4,0,0.299998,-0.000288845,-7.65167e-25
0.1,0.5,0,0.299998,-0.000235045,6.16131e-16
0.1,0.6,0,0.299997,-0.000228773,4.99272e-15
0.1,0.7,0,0.299997,-0.000228773,4.99272e-15
0.1,0.8,0,0.299997,-0.000228773,4.99272e-15
0.1,0.9,0,0.299997,-0.000228773,4.99272e-15
0.1,1,0,0.299997,-0.000228773,4.99272e-15
0.1,1.1,0,0.299997,-0.000228773,4.99272e-15
0.1,1.2,0,0.299997,-0.000228773,4.99272e-15
0.1,1.3,0,0.299997,-0.000228773,4.99272e-15
0.1,1.4,0,0.299997,-0.000225979,6.64867e-15
0.1,1.5,0,0.299996,-0.000220325,1e-14
0.1,1.6,0,0.299996,-0.000220325,1e-14
0.1,1.7,0,0.299996,-0.000220325,1e-14
0.1,1.8,0,0.299996,-0.000220325,1e-14
0.1,1.9,0,0.299995,-0.000215586,1.22432e-14
0.1,2,0,0.299994,-0.000209767,1.4998e-14
0.1,2.1,0,0.299994,-0.000209767,1.4998e-14
0.1,2.2,0,0.299994,-0.000209767,1.4998e-14
0.1,2.3,0,0.299994,-0.000209767,1.4998e-14
0.1,2.4,0,0.299993,-0.000202118,1.78338e-14
0.1,2.5,0,0.299992,-0.000196275,2e-14
0.1,2.6,0,0.299992,-0.000196275,2e-14
0.1,2.7,0,0.299992,-0.000196275,2e-14
0.1,2.8,0,0.299992,-0.000196275,2e-14
0.1,2.9,0,0.299991,-0.000184976,2e-14
0.1,3,0,0.299991,-0.000179781,2e-14
0.1,3.1,0,0.299991,-0.000179781,2e-14
0.1,3.2,0,0.299991,-0.000179781,2e-14
0.1,3.3,0,0.299991,-0.000179781,2e-14
0.1,3.4,0,0.299989,-0.00016424,2.20079e-14
0.1,3.5,0,0.299989,-0.000160431,2.25e-14
0.1,3.6,0,0.299989,-0.000160431,2.25e-14
0.1,3.7,0,0.299989,-0.000160431,2.25e-14
0.1,3.8,0,0.299989,-0.000160431,2.25e-14
0.1,3.9,0,0.299988,-0.000140181,2.71063e-14
0.1,4,0,0.299988,-0.00013845,2.75e-14
0.1,4.1,0,0.299988,-0.00013845,2.75e-14
0.1,4.2,0,0.299988,-0.00013845,2.75e-14
0.1,4.3,0,0.299988,-0.00013807,2.75512e-14
0.1,4.4,0,0.299987,-0.000114317,3.075e-14
0.1,4.5,0,0.299987,-0.000114317,3.075e-14
0.1,4.6,0,0.299987,-0.000114317,3.075e-14
0.1,4.7,0,0.299987,-0.000114317,3.075e-14
0.1,4.8,0,0.299987,-0.000110834,3.08839e-14
0.1,4.9,0,0.299986,-8.82942e-05,3.175e-14
0.1,5,0,0.299986,-8.82942e-05,3.175e-14
0.1,5.1,0,0.299986,-8.82942e-05,3.175e-14
0.1,5.2,0,0.299986,-8.82942e-05,3.175e-14
0.1,5.3,0,0.299985,-8.13653e-05,3.2065e-14
0.1,5.4,0,0.299985,-6.07951e-05,3.3e-14
0.1,5.5,0,0.299985,-6.07951e-05,3.3e-14
0.1,5.6,0,0.299985,-6.07951e-05,3.3e-14
0.1,5.7,0,0.299985,-6.07951e-05,3.3e-14
0.1,5.8,0,0.299984,-5.02519e-05,3.34626e-14
0.1,5.9,0,0.299984,-3.23062e-05,3.425e-14
0.1,6,0,0.299984,-3.23062e-05,3.425e-14
0.1,6.1,0,0.299984,-3.23062e-05,3.425e-14
0.1,6.2,0,0.299984,-3.23062e-05,3.425e-14
0.1,6.3,0,0.299984,-1.81295e-05,3.44941e-14
0.1,6.4,0,0.299984,-3.26695e-06,3.475e-14
0.1,6.5,0,0.299984,-3.26695e-06,3.475e-14
0.1,6.6,0,0.299984,-3.26695e-06,3.475e-14
0.1,6.7,0,0.299984,-3.26695e-06,3.475e-14
0.1,6.8,0,0.299984,1.44263e-05,3.49016e-14
0.1,6.9,0,0.299984,2.59153e-05,3.5e-14
0.1,7,0,0.299984,2.59153e-05,3.5e-14
0.1,7.1,0,0.299984,2.59153e-05,3.5e-14
0.1,7.2,0,0.299984,2.59153e-05,3.5e-14
0.1,7.3,0,0.299984,4.68687e-05,3.5e-14
0.1,7.4,0,0.299984,5.48402e-05,3.5e-14
0.1,7.5,0,0.299984,5.48402e-05,3.5e-14
0.1,7.6,0,0.299984,5.48402e-05,3.5e-14
0.1,7.7,0,0.299984,5.48402e-05,3.5e-14
0.1,7.8,0,0.299985,7.85907e-05,3.28937e-14
0.1,7.9,0,0.299985,8.30301e-05,3.25e-14
0.1,8,0,0.299985,8.30301e-05,3.25e-14
0.1,8.1,0,0.299985,8.30301e-05,3.25e-14
0.1,8.2,0,0.299985,8.30301e-05,3.25e-14
0.1,8.3,0,0.299986,0.000108935,3.25e-14
0.1,8.4,0,0.299986,0.000109997,3.25e-14
0.1,8.5,0,0.299986,0.000109997,3.25e-14
0.1,8.6,0,0.299986,0.000109997,3.25e-14
0.1,8.7,0,0.299986,0.000111382,3.25e-14
0.1,8.8,0,0.299987,0.000135129,3.25e-14
0.1,8.9,0,0.299987,0.000135129,3.25e-14
0.1,9,0,0.299987,0.000135129,3.25e-14
0.1,9.1,0,0.299987,0.000135129,3.25e-14
0.1,9.2,0,0.299987,0.000139124,3.20669e-14
0.1,9.3,0,0.299989,0.000158187,3e-14
0.1,9.4,0,0.299989,0.000158187,3e-14
0.1,9.5,0,0.299989,0.000158187,3e-14
0.1,9.6,0,0.299989,0.000158187,3e-14
0.1,9.7,0,0.299989,0.000164233,2.92725e-14
0.1,9.8,0,0.29999,0.000178942,2.75031e-14
0.1,9.9,0,0.29999,0.000178942,2.75031e-14
0.1,10,0,0.29999,0.000178942,2.75031e-14
0.1,10.1,0,0.29999,0.000178942,2.75031e-14
0.1,10.2,0,0.299991,0.000186249,2.54516e-14
0.1,10.3,0,0.299993,0.000196789,2.24928e-14
0.1,10.4,0,0.299993,0.000196789,2.24928e-14
0.1,10.5,0,0.299993,0.000196789,2.24928e-14
0.1,10.6,0,0.299993,0.000196789,2.24928e-14
0.1,10.7,0,0.299994,0.000205607,2.12892e-14
0.1,10.8,0,0.299995,0.000213436,2.02205e-14
0.1,10.9,0,0.299995,0.000213436,2.02205e-14
0.1,11,0,0.299995,0.000213436,2.02205e-14
0.1,11.1,0,0.299995,0.000213436,2.02205e-14
0.1,11.2,0,0.299996,0.000222323,1.86671e-14
0.1,11.3,0,0.299997,0.000234086,1.46421e-14
0.1,11.4,0,0.299997,0.000237878,1.28994e-14
0.1,11.5,0,0.299997,0.000237878,1.28994e-14
0.1,11.6,0,0.299997,0.000237878,1.28994e-14
0.1,11.7,0,0.299997,0.000237878,1.28994e-14
0.1,11.8,0,0.299997,0.000237878,1.28994e-14
0.1,11.9,0,0.299997,0.000237878,1.28994e-14
0.1,12,0,0.299997,0.000237878,1.28994e-14
0.1,12.1,0,0.299997,0.000237878,1.28994e-14
