x,y,z,p
0,0,0,8.57649e-05
0,0.1,0,0.000137505
0,0.2,0,0.000189244
0,0.3,0,0.000240984
0,0.4,0,0.000292723
0,0.5,0,0.000346305
0,0.6,0,0.000414012
0,0.7,0,0.000481719
0,0.8,0,0.000549426
0,0.9,0,0.000617133
0,1,0,0.000684322
0,1.1,0,0.000749783
0,1.2,0,0.000815245
0,1.3,0,0.000880706
0,1.4,0,0.000946168
0,1.5,0,0.00101072
0,1.6,0,0.00107354
0,1.7,0,0.00113636
0,1.8,0,0.00119918
0,1.9,0,0.001262
0,2,0,0.00132325
0,2.1,0,0.00138265
0,2.2,0,0.00144206
0,2.3,0,0.00150147
0,2.4,0,0.00156087
0,2.5,0,0.00161777
0,2.6,0,0.00167282
0,2.7,0,0.00172787
0,2.8,0,0.00178292
0,2.9,0,0.00183797
0,3,0,0.0018894
0,3.1,0,0.00193921
0,3.2,0,0.00198903
0,3.3,0,0.00203884
0,3.4,0,0.00208866
0,3.5,0,0.00213359
0,3.6,0,0.00217737
0,3.7,0,0.00222114
0,3.8,0,0.00226492
0,3.9,0,0.00230869
0,4,0,0.00234628
0,4.1,0,0.00238335
0,4.2,0,0.00242043
0,4.3,0,0.0024575
0,4.4,0,0.00249429
0,4.5,0,0.00252406
0,4.6,0,0.00255383
0,4.7,0,0.0025836
0,4.8,0,0.00261337
0,4.9,0,0.00264194
0,5,0,0.00266389
0,5.1,0,0.00268584
0,5.2,0,0.00270779
0,5.3,0,0.00272974
0,5.4,0,0.00274948
0,5.5,0,0.00276322
0,5.6,0,0.00277695
0,5.7,0,0.00279069
0,5.8,0,0.00280443
0,5.9,0,0.00281491
0,6,0,0.00282018
0,6.1,0,0.00282545
0,6.2,0,0.00283072
0,6.3,0,0.00283599
0,6.4,0,0.00283698
0,6.5,0,0.00283367
0,6.6,0,0.00283036
0,6.7,0,0.00282705
0,6.8,0,0.00282374
0,6.9,0,0.00281517
0,7,0,0.00280331
0,7.1,0,0.00279145
0,7.2,0,0.00277959
0,7.3,0,0.00276773
0,7.4,0,0.00274974
0,7.5,0,0.00272949
0,7.6,0,0.00270924
0,7.7,0,0.00268898
0,7.8,0,0.00266873
0,7.9,0,0.00264162
0,8,0,0.00261326
0,8.1,0,0.0025849
0,8.2,0,0.00255654
0,8.3,0,0.00252818
0,8.4,0,0.00249248
0,8.5,0,0.00245648
0,8.6,0,0.00242048
0,8.7,0,0.00238448
0,8.8,0,0.00234795
0,8.9,0,0.00230492
0,9,0,0.00226189
0,9.1,0,0.00221886
0,9.2,0,0.00217583
0,9.3,0,0.00213157
0,9.4,0,0.00208217
0,9.5,0,0.00203277
0,9.6,0,0.00198337
0,9.7,0,0.00193396
0,9.8,0,0.00188284
0,9.9,0,0.00182783
0,10,0,0.00177283
0,10.1,0,0.00171782
0,10.2,0,0.00166282
0,10.3,0,0.00160562
0,10.4,0,0.00154544
0,10.5,0,0.00148525
0,10.6,0,0.00142506
0,10.7,0,0.00136488
0,10.8,0,0.00130224
0,10.9,0,0.0012375
0,11,0,0.00117275
0,11.1,0,0.00110801
0,11.2,0,0.00104327
0,11.3,0,0.000976171
0,11.4,0,0.000907831
0,11.5,0,0.00083949
0,11.6,0,0.00077115
0,11.7,0,0.000702809
0,11.8,0,0.000633125
0,11.9,0,0.000563038
0,12,0,0.000492951
0,12.1,0,0.000422864
0,12.2,0,0.000352777
0,12.3,0,0.000297968
0,12.4,0,0.000245153
0,12.5,0,0.000192337
0,12.6,0,0.000139521
0,12.7,0,8.67053e-05
0.1,0,0,6.86119e-05
0.1,0.1,0,0.000137948
0.1,0.2,0,0.000189687
0.1,0.3,0,0.000241427
0.1,0.4,0,0.000293167
0.1,0.5,0,0.00034685
0.1,0.6,0,0.000414611
0.1,0.7,0,0.000482318
0.1,0.8,0,0.000550024
0.1,0.9,0,0.000617731
0.1,1,0,0.00068492
0.1,1.1,0,0.000750382
0.1,1.2,0,0.000815843
0.1,1.3,0,0.000881305
0.1,1.4,0,0.000946941
0.1,1.5,0,0.00101184
0.1,1.6,0,0.00107466
0.1,1.7,0,0.00113748
0.1,1.8,0,0.00120031
0.1,1.9,0,0.00126338
0.1,2,0,0.00132493
0.1,2.1,0,0.00138433
0.1,2.2,0,0.00144374
0.1,2.3,0,0.00150314
0.1,2.4,0,0.00156283
0.1,2.5,0,0.00161994
0.1,2.6,0,0.00167499
0.1,2.7,0,0.00173004
0.1,2.8,0,0.00178509
0.1,2.9,0,0.00184041
0.1,3,0,0.00189195
0.1,3.1,0,0.00194177
0.1,3.2,0,0.00199158
0.1,3.3,0,0.0020414
0.1,3.4,0,0.00209148
0.1,3.5,0,0.00213648
0.1,3.6,0,0.00218025
0.1,3.7,0,0.00222403
0.1,3.8,0,0.0022678
0.1,3.9,0,0.00231186
0.1,4,0,0.00234947
0.1,4.1,0,0.00238654
0.1,4.2,0,0.00242362
0.1,4.3,0,0.00246069
0.1,4.4,0,0.00249776
0.1,4.5,0,0.00252753
0.1,4.6,0,0.0025573
0.1,4.7,0,0.00258707
0.1,4.8,0,0.00261687
0.1,4.9,0,0.00264565
0.1,5,0,0.0026676
0.1,5.1,0,0.00268955
0.1,5.2,0,0.0027115
0.1,5.3,0,0.0027335
0.1,5.4,0,0.00275339
0.1,5.5,0,0.00276713
0.1,5.6,0,0.00278087
0.1,5.7,0,0.0027946
0.1,5.8,0,0.0028084
0.1,5.9,0,0.00281898
0.1,6,0,0.00282425
0.1,6.1,0,0.00282952
0.1,6.2,0,0.00283479
0.1,6.3,0,0.0028401
0.1,6.4,0,0.00284112
0.1,6.5,0,0.00283781
0.1,6.6,0,0.0028345
0.1,6.7,0,0.00283119
0.1,6.8,0,0.00282788
0.1,6.9,0,0.0028193
0.1,7,0,0.00280744
0.1,7.1,0,0.00279558
0.1,7.2,0,0.00278372
0.1,7.3,0,0.00277179
0.1,7.4,0,0.00275377
0.1,7.5,0,0.00273352
0.1,7.6,0,0.00271327
0.1,7.7,0,0.00269301
0.1,7.8,0,0.00267263
0.1,7.9,0,0.00264549
0.1,8,0,0.00261713
0.1,8.1,0,0.00258877
0.1,8.2,0,0.00256041
0.1,8.3,0,0.00253184
0.1,8.4,0,0.00249613
0.1,8.5,0,0.00246013
0.1,8.6,0,0.00242413
0.1,8.7,0,0.00238812
0.1,8.8,0,0.00235129
0.1,8.9,0,0.00230826
0.1,9,0,0.00226523
0.1,9.1,0,0.0022222
0.1,9.2,0,0.0021791
0.1,9.3,0,0.00213452
0.1,9.4,0,0.00208512
0.1,9.5,0,0.00203571
0.1,9.6,0,0.00198631
0.1,9.7,0,0.00193676
0.1,9.8,0,0.00188528
0.1,9.9,0,0.00183027
0.1,10,0,0.00177527
0.1,10.1,0,0.00172026
0.1,10.2,0,0.001665
0.1,10.3,0,0.00160744
0.1,10.4,0,0.00154726
0.1,10.5,0,0.00148707
0.1,10.6,0,0.00142688
0.1,10.7,0,0.00136627
0.1,10.8,0,0.00130323
0.1,10.9,0,0.00123849
0.1,11,0,0.00117374
0.1,11.1,0,0.001109
0.1,11.2,0,0.00104426
0.1,11.3,0,0.000977062
0.1,11.4,0,0.000908649
0.1,11.5,0,0.000840309
0.1,11.6,0,0.000771968
0.1,11.7,0,0.000703628
0.1,11.8,0,0.000633947
0.1,11.9,0,0.00056386
0.1,12,0,0.000493773
0.1,12.1,0,0.000423685
