x,y,z,U_0,U_1,U_2
0,0,0,0.299997,-0.000284788,0
0,0.1,0,0.299998,-0.000226485,6.46484e-32
0,0.2,0,0.299998,-0.000168182,1.29297e-31
0,0.3,0,0.299999,-0.000109879,1.93945e-31
0,0.4,0,0.299999,-5.15758e-05,2.58594e-31
0,0.5,0,0.3,-2.88329e-20,9.76282e-31
0,0.6,0,0.3,-3.45994e-20,1.17154e-30
0,0.7,0,0.3,-4.0366e-20,1.36679e-30
0,0.8,0,0.3,-4.61326e-20,1.56205e-30
0,0.9,0,0.3,-5.18992e-20,1.75731e-30
0,1,0,0.3,-5.76657e-20,1.95256e-30
0,1.1,0,0.3,-6.34323e-20,2.14782e-30
0,1.2,0,0.3,-6.91989e-20,2.34308e-30
0,1.3,0,0.3,-7.49655e-20,2.53833e-30
0,1.4,0,0.3,-8.0732e-20,2.73359e-30
0,1.5,0,0.3,-8.33223e-20,3.90537e-30
0,1.6,0,0.3,-8.88772e-20,4.16573e-30
0,1.7,0,0.3,-9.4432e-20,4.42609e-30
0,1.8,0,0.3,-9.99868e-20,4.68644e-30
0,1.9,0,0.3,-1.05542e-19,4.9468e-30
0,2,0,0.3,-1.05805e-19,6.50839e-30
0,2.1,0,0.3,-1.11095e-19,6.83381e-30
0,2.2,0,0.3,-1.16385e-19,7.15923e-30
0,2.3,0,0.3,-1.21675e-19,7.48465e-30
0,2.4,0,0.3,-1.26965e-19,7.81007e-30
0,2.5,0,0.3,-1.23794e-19,1.13911e-29
0,2.6,0,0.3,-1.28746e-19,1.18467e-29
0,2.7,0,0.3,-1.33697e-19,1.23024e-29
0,2.8,0,0.3,-1.38649e-19,1.2758e-29
0,2.9,0,0.3,-1.43601e-19,1.32137e-29
0,3,0,0.3,-1.36125e-19,1.75742e-29
0,3.1,0,0.3,-1.40662e-19,1.816e-29
0,3.2,0,0.3,-1.452e-19,1.87458e-29
0,3.3,0,0.3,-1.49737e-19,1.93316e-29
0,3.4,0,0.3,-1.54275e-19,1.99174e-29
0,3.5,0,0.3,-1.41785e-19,2.50595e-29
0,3.6,0,0.3,-1.45836e-19,2.57754e-29
0,3.7,0,0.3,-1.49887e-19,2.64914e-29
0,3.8,0,0.3,-1.53938e-19,2.72074e-29
0,3.9,0,0.3,-1.57989e-19,2.79234e-29
0,4,0,0.3,-1.39912e-19,3.38465e-29
0,4.1,0,0.3,-1.4341e-19,3.46927e-29
0,4.2,0,0.3,-1.46908e-19,3.55389e-29
0,4.3,0,0.3,-1.50406e-19,3.6385e-29
0,4.4,0,0.3,-1.27153e-19,4.18135e-29
0,4.5,0,0.3,-1.30042e-19,4.27638e-29
0,4.6,0,0.3,-1.32932e-19,4.37141e-29
0,4.7,0,0.3,-1.35822e-19,4.46644e-29
0,4.8,0,0.3,-1.38712e-19,4.56147e-29
0,4.9,0,0.3,-1.09452e-19,4.97544e-29
0,5,0,0.3,-1.11685e-19,5.07698e-29
0,5.1,0,0.3,-1.13919e-19,5.17852e-29
0,5.2,0,0.3,-1.16153e-19,5.28006e-29
0,5.3,0,0.3,-1.18387e-19,5.3816e-29
0,5.4,0,0.3,-8.31555e-20,5.94007e-29
0,5.5,0,0.3,-8.46954e-20,6.05007e-29
0,5.6,0,0.3,-8.62353e-20,6.16007e-29
0,5.7,0,0.3,-8.77752e-20,6.27007e-29
0,5.8,0,0.3,-8.93151e-20,6.38007e-29
0,5.9,0,0.3,-4.84277e-20,7.10452e-29
0,6,0,0.3,-4.92485e-20,7.22493e-29
0,6.1,0,0.3,-5.00693e-20,7.34535e-29
0,6.2,0,0.3,-5.08901e-20,7.46577e-29
0,6.3,0,0.3,-5.17109e-20,7.58618e-29
0,6.4,0,0.3,-5.60185e-21,8.24814e-29
0,6.5,0,0.3,-5.68938e-21,8.37702e-29
0,6.6,0,0.3,-5.77691e-21,8.5059e-29
0,6.7,0,0.3,-5.86444e-21,8.63477e-29
0,6.8,0,0.3,-5.95197e-21,8.76365e-29
0,6.9,0,0.3,4.48239e-20,9.29673e-29
0,7,0,0.3,4.54735e-20,9.43147e-29
0,7.1,0,0.3,4.61232e-20,9.5662e-29
0,7.2,0,0.3,4.67728e-20,9.70094e-29
0,7.3,0,0.3,4.74224e-20,9.83567e-29
0,7.4,0,0.3,1.0216e-19,9.87408e-29
0,7.5,0,0.3,1.03541e-19,1.00075e-28
0,7.6,0,0.3,1.04921e-19,1.01409e-28
0,7.7,0,0.3,1.06302e-19,1.02744e-28
0,7.8,0,0.3,1.07683e-19,1.04078e-28
0,7.9,0,0.3,1.65357e-19,1.02841e-28
0,8,0,0.3,1.6745e-19,1.04143e-28
0,8.1,0,0.3,1.69543e-19,1.05445e-28
0,8.2,0,0.3,1.71636e-19,1.06747e-28
0,8.3,0,0.3,1.73729e-19,1.08049e-28
0,8.4,0,0.3,2.33087e-19,1.0935e-28
0,8.5,0,0.3,2.35862e-19,1.10652e-28
0,8.6,0,0.3,2.38637e-19,1.11954e-28
0,8.7,0,0.3,2.41412e-19,1.13256e-28
0,8.8,0,0.3,3.00092e-19,1.03102e-28
0,8.9,0,0.3,3.03502e-19,1.04273e-28
0,9,0,0.3,3.06913e-19,1.05445e-28
0,9.1,0,0.3,3.10323e-19,1.06617e-28
0,9.2,0,0.3,3.13733e-19,1.07788e-28
0,9.3,0,0.3,3.71333e-19,9.68532e-29
0,9.4,0,0.3,3.75326e-19,9.78946e-29
0,9.5,0,0.3,3.79319e-19,9.8936e-29
0,9.6,0,0.3,3.83311e-19,9.99775e-29
0,9.7,0,0.3,3.87304e-19,1.01019e-28
0,9.8,0,0.3,4.42686e-19,1.02029e-28
0,9.9,0,0.3,4.47203e-19,1.0307e-28
0,10,0,0.3,4.5172e-19,1.04111e-28
0,10.1,0,0.3,4.56237e-19,1.05152e-28
0,10.2,0,0.3,4.60755e-19,1.06194e-28
0,10.3,0,0.3,5.11701e-19,9.37063e-29
0,10.4,0,0.3,5.16669e-19,9.46161e-29
0,10.5,0,0.3,5.21637e-19,9.55258e-29
0,10.6,0,0.3,5.26605e-19,9.64356e-29
0,10.7,0,0.3,5.31573e-19,9.73454e-29
0,10.8,0,0.3,5.81934e-19,7.09739e-29
0,10.9,0,0.3,5.87323e-19,7.1631e-29
0,11,0,0.3,5.92711e-19,7.22882e-29
0,11.1,0,0.3,5.98099e-19,7.29454e-29
0,11.2,0,0.3,6.03487e-19,7.36025e-29
0,11.3,0,0.3,6.78657e-19,2.28316e-29
0,11.4,0,0.3,6.84662e-19,2.30337e-29
0,11.5,0,0.3,6.90668e-19,2.32357e-29
0,11.6,0,0.3,6.96674e-19,2.34378e-29
0,11.7,0,0.3,7.0268e-19,2.36398e-29
0,11.8,0,0.3,7.08686e-19,2.38419e-29
0,11.9,0,0.3,7.14691e-19,2.40439e-29
0,12,0,0.3,7.20697e-19,2.4246e-29
0,12.1,0,0.3,7.26703e-19,2.4448e-29
0,12.2,0,0.3,7.32709e-19,2.46501e-29
0,12.3,0,0.3,5.19028e-05,3.16624e-15
0,12.4,0,0.3,0.000110576,6.74548e-15
0,12.5,0,0.3,0.000169248,1.03247e-14
0,12.6,0,0.3,0.000227921,1.39039e-14
0,12.7,0,0.3,0.000286594,1.74832e-14
0.1,0,0,0.299997,-0.00045868,0
0.1,0.1,0,0.299996,-0.000454525,2.48306e-15
0.1,0.2,0,0.299997,-0.000396222,2.48306e-15
0.1,0.3,0,0.299997,-0.000337919,2.48306e-15
0.1,0.4,0,0.299998,-0.000279616,2.48306e-15
0.1,0.5,0,0.299998,-0.000227533,3.10212e-15
0.1,0.6,0,0.299997,-0.000221486,7.49954e-15
0.1,0.7,0,0.299997,-0.000221486,7.49954e-15
0.1,0.8,0,0.299997,-0.000221486,7.49954e-15
0.1,0.9,0,0.299997,-0.000221486,7.49954e-15
0.1,1,0,0.299997,-0.000221486,7.49954e-15
0.1,1.1,0,0.299997,-0.000221486,7.49954e-15
0.1,1.2,0,0.299997,-0.000221486,7.49954e-15
0.1,1.3,0,0.299997,-0.000221486,7.49954e-15
0.1,1.4,0,0.299997,-0.000218797,8.32646e-15
0.1,1.5,0,0.299996,-0.000213353,1e-14
0.1,1.6,0,0.299996,-0.000213353,1e-14
0.1,1.7,0,0.299996,-0.000213353,1e-14
0.1,1.8,0,0.299996,-0.000213353,1e-14
0.1,1.9,0,0.299995,-0.000208792,1.11216e-14
0.1,2,0,0.299994,-0.000203191,1.24989e-14
0.1,2.1,0,0.299994,-0.000203191,1.24989e-14
0.1,2.2,0,0.299994,-0.000203191,1.24989e-14
0.1,2.3,0,0.299994,-0.000203191,1.24989e-14
0.1,2.4,0,0.299993,-0.00019582,1.53346e-14
0.1,2.5,0,0.299992,-0.00019019,1.75007e-14
0.1,2.6,0,0.299992,-0.00019019,1.75007e-14
0.1,2.7,0,0.299992,-0.00019019,1.75007e-14
0.1,2.8,0,0.299992,-0.00019019,1.75007e-14
0.1,2.9,0,0.299991,-0.00017929,2.09254e-14
0.1,3,0,0.299991,-0.000174279,2.25e-14
0.1,3.1,0,0.299991,-0.000174279,2.25e-14
0.1,3.2,0,0.299991,-0.000174279,2.25e-14
