x,y,z,p
0,0,0,8.55371e-05
0,0.1,0,0.000137139
0,0.2,0,0.000188742
0,0.3,0,0.000240344
0,0.4,0,0.000291946
0,0.5,0,0.000345386
0,0.6,0,0.000412914
0,0.7,0,0.000480441
0,0.8,0,0.000547969
0,0.9,0,0.000615497
0,1,0,0.000682508
0,1.1,0,0.000747797
0,1.2,0,0.000813086
0,1.3,0,0.000878375
0,1.4,0,0.000943664
0,1.5,0,0.00100804
0,1.6,0,0.0010707
0,1.7,0,0.00113336
0,1.8,0,0.00119601
0,1.9,0,0.00125867
0,2,0,0.00131976
0,2.1,0,0.00137901
0,2.2,0,0.00143826
0,2.3,0,0.00149751
0,2.4,0,0.00155677
0,2.5,0,0.00161351
0,2.6,0,0.00166843
0,2.7,0,0.00172334
0,2.8,0,0.00177825
0,2.9,0,0.00183316
0,3,0,0.00188446
0,3.1,0,0.00193415
0,3.2,0,0.00198383
0,3.3,0,0.00203352
0,3.4,0,0.00208321
0,3.5,0,0.00212804
0,3.6,0,0.0021717
0,3.7,0,0.00221537
0,3.8,0,0.00225904
0,3.9,0,0.0023027
0,4,0,0.0023402
0,4.1,0,0.00237718
0,4.2,0,0.00241416
0,4.3,0,0.00245114
0,4.4,0,0.00248784
0,4.5,0,0.00251754
0,4.6,0,0.00254724
0,4.7,0,0.00257694
0,4.8,0,0.00260664
0,4.9,0,0.00263514
0,5,0,0.00265704
0,5.1,0,0.00267895
0,5.2,0,0.00270085
0,5.3,0,0.00272275
0,5.4,0,0.00274244
0,5.5,0,0.00275615
0,5.6,0,0.00276986
0,5.7,0,0.00278357
0,5.8,0,0.00279727
0,5.9,0,0.00280773
0,6,0,0.002813
0,6.1,0,0.00281826
0,6.2,0,0.00282352
0,6.3,0,0.00282878
0,6.4,0,0.00282977
0,6.5,0,0.00282647
0,6.6,0,0.00282318
0,6.7,0,0.00281988
0,6.8,0,0.00281659
0,6.9,0,0.00280804
0,7,0,0.00279622
0,7.1,0,0.00278439
0,7.2,0,0.00277256
0,7.3,0,0.00276074
0,7.4,0,0.00274279
0,7.5,0,0.00272259
0,7.6,0,0.0027024
0,7.7,0,0.0026822
0,7.8,0,0.002662
0,7.9,0,0.00263496
0,8,0,0.00260667
0,8.1,0,0.00257838
0,8.2,0,0.0025501
0,8.3,0,0.00252181
0,8.4,0,0.0024862
0,8.5,0,0.0024503
0,8.6,0,0.00241439
0,8.7,0,0.00237849
0,8.8,0,0.00234204
0,8.9,0,0.00229912
0,9,0,0.0022562
0,9.1,0,0.00221329
0,9.2,0,0.00217037
0,9.3,0,0.00212622
0,9.4,0,0.00207694
0,9.5,0,0.00202766
0,9.6,0,0.00197839
0,9.7,0,0.00192911
0,9.8,0,0.00187811
0,9.9,0,0.00182324
0,10,0,0.00176838
0,10.1,0,0.00171351
0,10.2,0,0.00165864
0,10.3,0,0.00160159
0,10.4,0,0.00154155
0,10.5,0,0.00148152
0,10.6,0,0.00142148
0,10.7,0,0.00136145
0,10.8,0,0.00129897
0,10.9,0,0.00123439
0,11,0,0.0011698
0,11.1,0,0.00110522
0,11.2,0,0.00104064
0,11.3,0,0.000973717
0,11.4,0,0.000905549
0,11.5,0,0.00083738
0,11.6,0,0.000769212
0,11.7,0,0.000701043
0,11.8,0,0.000631534
0,11.9,0,0.000561623
0,12,0,0.000491711
0,12.1,0,0.0004218
0,12.2,0,0.000351889
0,12.3,0,0.000297218
0,12.4,0,0.000244535
0,12.5,0,0.000191853
0,12.6,0,0.00013917
0,12.7,0,8.64871e-05
0.1,0,0,6.84297e-05
0.1,0.1,0,0.000137581
0.1,0.2,0,0.000189184
0.1,0.3,0,0.000240786
0.1,0.4,0,0.000292388
0.1,0.5,0,0.00034593
0.1,0.6,0,0.00041351
0.1,0.7,0,0.000481038
0.1,0.8,0,0.000548566
0.1,0.9,0,0.000616093
0.1,1,0,0.000683104
0.1,1.1,0,0.000748393
0.1,1.2,0,0.000813682
0.1,1.3,0,0.000878971
0.1,1.4,0,0.000944434
0.1,1.5,0,0.00100916
0.1,1.6,0,0.00107182
0.1,1.7,0,0.00113448
0.1,1.8,0,0.00119714
0.1,1.9,0,0.00126004
0.1,2,0,0.00132143
0.1,2.1,0,0.00138068
0.1,2.2,0,0.00143993
0.1,2.3,0,0.00149919
0.1,2.4,0,0.00155872
0.1,2.5,0,0.00161568
0.1,2.6,0,0.00167059
0.1,2.7,0,0.00172551
0.1,2.8,0,0.00178042
0.1,2.9,0,0.00183559
0.1,3,0,0.001887
0.1,3.1,0,0.00193669
0.1,3.2,0,0.00198638
0.1,3.3,0,0.00203607
0.1,3.4,0,0.00208603
0.1,3.5,0,0.00213092
0.1,3.6,0,0.00217458
0.1,3.7,0,0.00221825
0.1,3.8,0,0.00226191
0.1,3.9,0,0.00230586
0.1,4,0,0.00234338
0.1,4.1,0,0.00238036
0.1,4.2,0,0.00241734
0.1,4.3,0,0.00245433
0.1,4.4,0,0.0024913
0.1,4.5,0,0.002521
0.1,4.6,0,0.0025507
0.1,4.7,0,0.0025804
0.1,4.8,0,0.00261014
0.1,4.9,0,0.00263884
0.1,5,0,0.00266074
0.1,5.1,0,0.00268265
0.1,5.2,0,0.00270455
0.1,5.3,0,0.0027265
0.1,5.4,0,0.00274634
0.1,5.5,0,0.00276005
