x,y,z,p
0,0,0,0.00015738
0,0.1,0,0.000332857
0,0.2,0,0.000508335
0,0.3,0,0.000698894
0,0.4,0,0.000934697
0,0.5,0,0.0011705
0,0.6,0,0.00140925
0,0.7,0,0.00165094
0,0.8,0,0.00189263
0,0.9,0,0.00214088
0,1,0,0.00239131
0,1.1,0,0.00264174
0,1.2,0,0.0029038
0,1.3,0,0.00316586
0,1.4,0,0.00343156
0,1.5,0,0.00370815
0,1.6,0,0.00398474
0,1.7,0,0.00427002
0,1.8,0,0.00456398
0,1.9,0,0.00485793
0,2,0,0.00516692
0,2.1,0,0.00548092
0,2.2,0,0.00579492
0,2.3,0,0.00613127
0,2.4,0,0.00646762
0,2.5,0,0.00680997
0,2.6,0,0.00717034
0,2.7,0,0.0075307
0,2.8,0,0.00790338
0,2.9,0,0.00828836
0,3,0,0.00867334
0,3.1,0,0.00907604
0,3.2,0,0.00948463
0,3.3,0,0.00989323
0,3.4,0,0.0103221
0,3.5,0,0.010751
0,3.6,0,0.0111834
0,3.7,0,0.0116262
0,3.8,0,0.012069
0,3.9,0,0.0125135
0,4,0,0.0129598
0,4.1,0,0.0134061
0,4.2,0,0.0138438
0,4.3,0,0.0142787
0,4.4,0,0.0147136
0,4.5,0,0.0151178
0,4.6,0,0.0155219
0,4.7,0,0.0159126
0,4.8,0,0.016263
0,4.9,0,0.0166134
0,5,0,0.0169247
0,5.1,0,0.0171969
0,5.2,0,0.0174691
0,5.3,0,0.0176495
0,5.4,0,0.0177992
0,5.5,0,0.0179489
0,5.6,0,0.0181128
0,5.7,0,0.0181673
0,5.8,0,0.0181788
0,5.9,0,0.0181479
0,6,0,0.018007
0,6.1,0,0.0178655
0,6.2,0,0.0177239
0,6.3,0,0.0175823
0,6.4,0,0.017354
0,6.5,0,0.0170789
0,6.6,0,0.0168037
0,6.7,0,0.0165047
0,6.8,0,0.01615
0,6.9,0,0.0157952
0,7,0,0.0154405
0,7.1,0,0.0150433
0,7.2,0,0.0146439
0,7.3,0,0.0142444
0,7.4,0,0.0138357
0,7.5,0,0.0134208
0,7.6,0,0.0130059
0,7.7,0,0.0125925
0,7.8,0,0.0121835
0,7.9,0,0.0117745
0,8,0,0.0113655
0,8.1,0,0.010974
0,8.2,0,0.0105846
0,8.3,0,0.0101951
0,8.4,0,0.00982045
0,8.5,0,0.00945791
0,8.6,0,0.00909538
0,8.7,0,0.00873881
0,8.8,0,0.00840609
0,8.9,0,0.00807337
0,9,0,0.00774064
0,9.1,0,0.00743321
0,9.2,0,0.00713024
0,9.3,0,0.00682727
0,9.4,0,0.00653824
0,9.5,0,0.00626317
0,9.6,0,0.00598809
0,9.7,0,0.00571678
0,9.8,0,0.00546678
0,9.9,0,0.00521678
0,10,0,0.00496678
0,10.1,0,0.00473428
0,10.2,0,0.00450616
0,10.3,0,0.00427803
0,10.4,0,0.00405828
0,10.5,0,0.00384875
0,10.6,0,0.00363923
0,10.7,0,0.00343125
0,10.8,0,0.00323716
0,10.9,0,0.00304308
0,11,0,0.002849
0,11.1,0,0.00266427
0,11.2,0,0.00248266
0,11.3,0,0.00230105
0,11.4,0,0.00212332
0,11.5,0,0.00195142
0,11.6,0,0.00177951
0,11.7,0,0.00160796
0,11.8,0,0.00144319
0,11.9,0,0.00127841
0,12,0,0.00111363
0,12.1,0,0.00095216
0,12.2,0,0.000792102
