x,y,z,p
0,0,0,13.8919
0,0.1,0,13.8528
0,0.2,0,13.8137
0,0.3,0,13.7702
0,0.4,0,13.7223
0,0.5,0,13.6745
0,0.6,0,13.6552
0,0.7,0,13.636
0,0.8,0,13.6186
0,0.9,0,13.6031
0,1,0,13.5876
0,1.1,0,13.5793
0,1.2,0,13.5711
0,1.3,0,13.5648
0,1.4,0,13.5602
0,1.5,0,13.5556
0,1.6,0,13.5541
0,1.7,0,13.5526
0,1.8,0,13.5523
0,1.9,0,13.5531
0,2,0,13.554
0,2.1,0,13.5565
0,2.2,0,13.5591
0,2.3,0,13.5624
0,2.4,0,13.5664
0,2.5,0,13.5704
0,2.6,0,13.5753
0,2.7,0,13.5803
0,2.8,0,13.5855
0,2.9,0,13.591
0,3,0,13.5965
0,3.1,0,13.6023
0,3.2,0,13.608
0,3.3,0,13.6138
0,3.4,0,13.6196
0,3.5,0,13.6255
0,3.6,0,13.6312
0,3.7,0,13.637
0,3.8,0,13.6427
0,3.9,0,13.6483
0,4,0,13.6539
0,4.1,0,13.6607
0,4.2,0,13.6676
0,4.3,0,13.6755
0,4.4,0,13.6844
0,4.5,0,13.6933
0,4.6,0,13.7028
0,4.7,0,13.7124
0,4.8,0,13.7206
0,4.9,0,13.7274
0,5,0,13.7343
0,5.1,0,13.7386
0,5.2,0,13.7421
0,5.3,0,13.7459
0,5.4,0,13.7484
0,5.5,0,13.7486
0,5.6,0,13.7459
0,5.7,0,13.7405
0,5.8,0,13.7325
0,5.9,0,13.7238
0,6,0,13.7123
0,6.1,0,13.6988
0,6.2,0,13.6854
0,6.3,0,13.6719
0,6.4,0,13.6581
0,6.5,0,13.6442
0,6.6,0,13.6302
0,6.7,0,13.6167
0,6.8,0,13.604
0,6.9,0,13.5914
0,7,0,13.5788
0,7.1,0,13.5665
0,7.2,0,13.5542
0,7.3,0,13.5419
0,7.4,0,13.5299
0,7.5,0,13.518
0,7.6,0,13.5061
0,7.7,0,13.4941
0,7.8,0,13.4817
0,7.9,0,13.4693
0,8,0,13.4569
0,8.1,0,13.4445
0,8.2,0,13.432
0,8.3,0,13.4196
0,8.4,0,13.4073
0,8.5,0,13.3951
0,8.6,0,13.383
0,8.7,0,13.371
0,8.8,0,13.3595
0,8.9,0,13.3481
0,9,0,13.3367
0,9.1,0,13.3262
0,9.2,0,13.3158
0,9.3,0,13.3055
0,9.4,0,13.2959
0,9.5,0,13.2869
0,9.6,0,13.278
0,9.7,0,13.2693
0,9.8,0,13.262
0,9.9,0,13.2546
0,10,0,13.2473
0,10.1,0,13.2414
0,10.2,0,13.2359
0,10.3,0,13.2304
0,10.4,0,13.2258
0,10.5,0,13.2222
0,10.6,0,13.2187
0,10.7,0,13.2154
0,10.8,0,13.2145
0,10.9,0,13.2135
0,11,0,13.2126
0,11.1,0,13.2134
0,11.2,0,13.2149
0,11.3,0,13.2163
0,11.4,0,13.2198
0,11.5,0,13.2262
0,11.6,0,13.2326
0,11.7,0,13.2391
0,11.8,0,13.2481
0,11.9,0,13.2571
0,12,0,13.2661
0,12.1,0,13.2883
0,12.2,0,13.3162
0,12.3,0,13.3442
0,12.4,0,13.3708
0,12.5,0,13.3951
0,12.6,0,13.4193
0,12.7,0,13.4436
0.1,0,0,13.8041
0.1,0.1,0,13.7777
0.1,0.2,0,13.7386
0.1,0.3,0,13.7026
0.1,0.4,0,13.6623
0.1,0.5,0,13.6144
0.1,0.6,0,13.5991
0.1,0.7,0,13.5798
0.1,0.8,0,13.5636
0.1,0.9,0,13.5492
0.1,1,0,13.5337
0.1,1.1,0,13.5266
0.1,1.2,0,13.5184
0.1,1.3,0,13.5123
0.1,1.4,0,13.508
0.1,1.5,0,13.5034
0.1,1.6,0,13.5023
0.1,1.7,0,13.5008
0.1,1.8,0,13.5006
0.1,1.9,0,13.5016
0.1,2,0,13.5024
0.1,2.1,0,13.5054
0.1,2.2,0,13.508
0.1,2.3,0,13.5115
0.1,2.4,0,13.5157
0.1,2.5,0,13.5197
0.1,2.6,0,13.5253
0.1,2.7,0,13.5303
0.1,2.8,0,13.536
0.1,2.9,0,13.5421
0.1,3,0,13.5476
0.1,3.1,0,13.5548
0.1,3.2,0,13.5605
0.1,3.3,0,13.5671
0.1,3.4,0,13.5738
0.1,3.5,0,13.5796
0.1,3.6,0,13.5868
0.1,3.7,0,13.5925
0.1,3.8,0,13.5986
0.1,3.9,0,13.6045
0.1,4,0,13.6101
0.1,4.1,0,13.6153
0.1,4.2,0,13.6221
0.1,4.3,0,13.6276
0.1,4.4,0,13.634
0.1,4.5,0,13.6429
0.1,4.6,0,13.6449
0.1,4.7,0,13.6544
0.1,4.8,0,13.6588
0.1,4.9,0,13.6618
0.1,5,0,13.6687
0.1,5.1,0,13.67
0.1,5.2,0,13.6717
0.1,5.3,0,13.6738
0.1,5.4,0,13.6752
0.1,5.5,0,13.6748
0.1,5.6,0,13.672
0.1,5.7,0,13.6671
0.1,5.8,0,13.6601
0.1,5.9,0,13.6525
0.1,6,0,13.6433
0.1,6.1,0,13.6394
0.1,6.2,0,13.6292
0.1,6.3,0,13.6158
0.1,6.4,0,13.6063
0.1,6.5,0,13.5968
0.1,6.6,0,13.5829
0.1,6.7,0,13.5699
0.1,6.8,0,13.5591
0.1,6.9,0,13.5465
0.1,7,0,13.5339
0.1,7.1,0,13.5216
0.1,7.2,0,13.5093
0.1,7.3,0,13.497
0.1,7.4,0,13.4841
0.1,7.5,0,13.4712
0.1,7.6,0,13.4593
0.1,7.7,0,13.447
0.1,7.8,0,13.4333
0.1,7.9,0,13.4208
0.1,8,0,13.4084
0.1,8.1,0,13.3951
0.1,8.2,0,13.3823
0.1,8.3,0,13.3698
0.1,8.4,0,13.3572
0.1,8.5,0,13.3447
0.1,8.6,0,13.3325
0.1,8.7,0,13.3204
0.1,8.8,0,13.3087
0.1,8.9,0,13.2972
0.1,9,0,13.2858
0.1,9.1,0,13.2752
0.1,9.2,0,13.2648
0.1,9.3,0,13.2545
0.1,9.4,0,13.2448
0.1,9.5,0,13.2358
0.1,9.6,0,13.2268
0.1,9.7,0,13.2181
0.1,9.8,0,13.2107
0.1,9.9,0,13.2034
0.1,10,0,13.196
0.1,10.1,0,13.1901
0.1,10.2,0,13.1846
0.1,10.3,0,13.179
0.1,10.4,0,13.1744
0.1,10.5,0,13.1707
0.1,10.6,0,13.1672
0.1,10.7,0,13.1639
0.1,10.8,0,13.1628
0.1,10.9,0,13.1619
0.1,11,0,13.1609
0.1,11.1,0,13.1615
0.1,11.2,0,13.1628
0.1,11.3,0,13.1642
0.1,11.4,0,13.1673
0.1,11.5,0,13.173
0.1,11.6,0,13.1794
0.1,11.7,0,13.1859
0.1,11.8,0,13.1934
0.1,11.9,0,13.202
0.1,12,0,13.2109
0.1,12.1,0,13.2278
0.1,12.2,0,13.2509
0.1,12.3,0,13.2788
0.1,12.4,0,13.3031
0.1,12.5,0,13.3207
0.1,12.6,0,13.345
0.1,12.7,0,13.3692
0.2,0,0,13.7163
0.2,0.1,0,13.6898
0.2,0.2,0,13.6634
0.2,0.3,0,13.6275
0.2,0.4,0,13.5947
0.2,0.5,0,13.5543
0.2,0.6,0,13.539
0.2,0.7,0,13.5237
0.2,0.8,0,13.5074
0.2,0.9,0,13.4942
0.2,1,0,13.4798
0.2,1.1,0,13.4727
0.2,1.2,0,13.4656
0.2,1.3,0,13.4595
0.2,1.4,0,13.4555
0.2,1.5,0,13.4512
0.2,1.6,0,13.4501
0.2,1.7,0,13.449
0.2,1.8,0,13.4488
0.2,1.9,0,13.4499
0.2,2,0,13.4509
0.2,2.1,0,13.4538
0.2,2.2,0,13.4568
0.2,2.3,0,13.4603
0.2,2.4,0,13.4647
0.2,2.5,0,13.4689
0.2,2.6,0,13.4746
0.2,2.7,0,13.4802
