x,y,z,p
0,0,0,13.9177
0,0.1,0,13.8786
0,0.2,0,13.8395
0,0.3,0,13.7959
0,0.4,0,13.748
0,0.5,0,13.7001
0,0.6,0,13.6807
0,0.7,0,13.6615
0,0.8,0,13.644
0,0.9,0,13.6284
0,1,0,13.6128
0,1.1,0,13.6045
0,1.2,0,13.5961
0,1.3,0,13.5896
0,1.4,0,13.5849
0,1.5,0,13.5802
0,1.6,0,13.5785
0,1.7,0,13.5768
0,1.8,0,13.5763
0,1.9,0,13.577
0,2,0,13.5776
0,2.1,0,13.58
0,2.2,0,13.5824
0,2.3,0,13.5855
0,2.4,0,13.5893
0,2.5,0,13.593
0,2.6,0,13.5978
0,2.7,0,13.6025
0,2.8,0,13.6075
0,2.9,0,13.6128
0,3,0,13.6181
0,3.1,0,13.6237
0,3.2,0,13.6293
0,3.3,0,13.6349
0,3.4,0,13.6406
0,3.5,0,13.6462
0,3.6,0,13.652
0,3.7,0,13.6577
0,3.8,0,13.6634
0,3.9,0,13.6691
0,4,0,13.6747
0,4.1,0,13.6817
0,4.2,0,13.6887
0,4.3,0,13.6964
0,4.4,0,13.7049
0,4.5,0,13.7134
0,4.6,0,13.7223
0,4.7,0,13.7312
0,4.8,0,13.7392
0,4.9,0,13.7465
0,5,0,13.7537
0,5.1,0,13.7588
0,5.2,0,13.763
0,5.3,0,13.7674
0,5.4,0,13.7703
0,5.5,0,13.7709
0,5.6,0,13.7686
0,5.7,0,13.7634
0,5.8,0,13.7556
0,5.9,0,13.7469
0,6,0,13.7351
0,6.1,0,13.7215
0,6.2,0,13.7079
0,6.3,0,13.6943
0,6.4,0,13.6808
0,6.5,0,13.6674
0,6.6,0,13.654
0,6.7,0,13.641
0,6.8,0,13.6288
0,6.9,0,13.6167
0,7,0,13.6045
0,7.1,0,13.5924
0,7.2,0,13.5804
0,7.3,0,13.5683
0,7.4,0,13.5566
0,7.5,0,13.5452
0,7.6,0,13.5338
0,7.7,0,13.5222
0,7.8,0,13.5103
0,7.9,0,13.4983
0,8,0,13.4863
0,8.1,0,13.4744
0,8.2,0,13.4624
0,8.3,0,13.4505
0,8.4,0,13.4387
0,8.5,0,13.427
0,8.6,0,13.4154
0,8.7,0,13.4039
0,8.8,0,13.3929
0,8.9,0,13.382
0,9,0,13.3711
0,9.1,0,13.3611
0,9.2,0,13.3512
0,9.3,0,13.3414
0,9.4,0,13.3322
0,9.5,0,13.3237
0,9.6,0,13.3153
0,9.7,0,13.307
0,9.8,0,13.3001
0,9.9,0,13.2932
0,10,0,13.2863
0,10.1,0,13.2809
0,10.2,0,13.2757
0,10.3,0,13.2706
0,10.4,0,13.2664
0,10.5,0,13.2632
0,10.6,0,13.26
0,10.7,0,13.2571
0,10.8,0,13.2565
0,10.9,0,13.2559
0,11,0,13.2553
0,11.1,0,13.2564
0,11.2,0,13.2581
0,11.3,0,13.2598
0,11.4,0,13.2634
0,11.5,0,13.2701
0,11.6,0,13.2767
0,11.7,0,13.2834
0,11.8,0,13.2925
0,11.9,0,13.3016
0,12,0,13.3108
0,12.1,0,13.3331
0,12.2,0,13.3612
0,12.3,0,13.3892
0,12.4,0,13.4159
0,12.5,0,13.4402
0,12.6,0,13.4645
0,12.7,0,13.4888
0.1,0,0,13.8299
0.1,0.1,0,13.8035
0.1,0.2,0,13.7644
0.1,0.3,0,13.7284
0.1,0.4,0,13.688
0.1,0.5,0,13.64
0.1,0.6,0,13.6247
0.1,0.7,0,13.6054
0.1,0.8,0,13.589
0.1,0.9,0,13.5746
0.1,1,0,13.5589
0.1,1.1,0,13.5517
0.1,1.2,0,13.5434
0.1,1.3,0,13.5372
0.1,1.4,0,13.5327
0.1,1.5,0,13.528
0.1,1.6,0,13.5267
0.1,1.7,0,13.5251
0.1,1.8,0,13.5247
0.1,1.9,0,13.5255
0.1,2,0,13.5262
0.1,2.1,0,13.5289
0.1,2.2,0,13.5313
0.1,2.3,0,13.5347
0.1,2.4,0,13.5387
0.1,2.5,0,13.5425
0.1,2.6,0,13.548
0.1,2.7,0,13.5527
0.1,2.8,0,13.5583
0.1,2.9,0,13.5641
0.1,3,0,13.5694
0.1,3.1,0,13.5766
0.1,3.2,0,13.5821
0.1,3.3,0,13.5886
0.1,3.4,0,13.5951
0.1,3.5,0,13.6008
0.1,3.6,0,13.6079
0.1,3.7,0,13.6136
0.1,3.8,0,13.6196
0.1,3.9,0,13.6255
0.1,4,0,13.6311
0.1,4.1,0,13.6362
0.1,4.2,0,13.6432
0.1,4.3,0,13.6488
0.1,4.4,0,13.6551
0.1,4.5,0,13.6636
0.1,4.6,0,13.6653
0.1,4.7,0,13.6742
0.1,4.8,0,13.6779
0.1,4.9,0,13.6808
0.1,5,0,13.6881
0.1,5.1,0,13.6898
0.1,5.2,0,13.6919
0.1,5.3,0,13.6946
0.1,5.4,0,13.6964
0.1,5.5,0,13.6962
0.1,5.6,0,13.6939
0.1,5.7,0,13.6892
0.1,5.8,0,13.6824
0.1,5.9,0,13.6749
0.1,6,0,13.6656
0.1,6.1,0,13.6622
0.1,6.2,0,13.6521
0.1,6.3,0,13.6385
0.1,6.4,0,13.6292
0.1,6.5,0,13.6202
0.1,6.6,0,13.6068
0.1,6.7,0,13.5943
0.1,6.8,0,13.5838
0.1,6.9,0,13.5717
0.1,7,0,13.5595
0.1,7.1,0,13.5476
0.1,7.2,0,13.5356
0.1,7.3,0,13.5235
0.1,7.4,0,13.511
0.1,7.5,0,13.4985
0.1,7.6,0,13.4871
0.1,7.7,0,13.4752
0.1,7.8,0,13.462
0.1,7.9,0,13.4499
0.1,8,0,13.438
0.1,8.1,0,13.4252
0.1,8.2,0,13.4128
0.1,8.3,0,13.4008
0.1,8.4,0,13.3887
0.1,8.5,0,13.3767
0.1,8.6,0,13.365
0.1,8.7,0,13.3534
0.1,8.8,0,13.3422
0.1,8.9,0,13.3312
0.1,9,0,13.3203
0.1,9.1,0,13.3102
0.1,9.2,0,13.3002
0.1,9.3,0,13.2904
0.1,9.4,0,13.2812
0.1,9.5,0,13.2726
0.1,9.6,0,13.2641
0.1,9.7,0,13.2559
0.1,9.8,0,13.2489
0.1,9.9,0,13.242
0.1,10,0,13.2351
0.1,10.1,0,13.2296
0.1,10.2,0,13.2244
0.1,10.3,0,13.2193
0.1,10.4,0,13.215
0.1,10.5,0,13.2118
0.1,10.6,0,13.2086
0.1,10.7,0,13.2057
0.1,10.8,0,13.2049
0.1,10.9,0,13.2042
0.1,11,0,13.2036
0.1,11.1,0,13.2045
0.1,11.2,0,13.206
0.1,11.3,0,13.2077
0.1,11.4,0,13.211
0.1,11.5,0,13.2169
0.1,11.6,0,13.2235
0.1,11.7,0,13.2302
0.1,11.8,0,13.2379
0.1,11.9,0,13.2466
0.1,12,0,13.2557
0.1,12.1,0,13.2727
0.1,12.2,0,13.2959
0.1,12.3,0,13.3239
0.1,12.4,0,13.3483
0.1,12.5,0,13.3659
0.1,12.6,0,13.3902
0.1,12.7,0,13.4145
0.2,0,0,13.7422
0.2,0.1,0,13.7157
0.2,0.2,0,13.6892
0.2,0.3,0,13.6533
0.2,0.4,0,13.6204
0.2,0.5,0,13.58
0.2,0.6,0,13.5647
0.2,0.7,0,13.5493
0.2,0.8,0,13.5329
0.2,0.9,0,13.5196
0.2,1,0,13.5051
0.2,1.1,0,13.4979
0.2,1.2,0,13.4907
0.2,1.3,0,13.4845
0.2,1.4,0,13.4803
0.2,1.5,0,13.4759
0.2,1.6,0,13.4746
0.2,1.7,0,13.4733
0.2,1.8,0,13.473
0.2,1.9,0,13.4739
0.2,2,0,13.4747
0.2,2.1,0,13.4775
0.2,2.2,0,13.4803
0.2,2.3,0,13.4836
