x,y,z,U_0,U_1,U_2
0,0,0,1.5,0,0
0,0.1,0,2.1,0,0
0,0.2,0,2.7,0,0
0,0.3,0,3,0,0
0,0.4,0,3,0,0
0,0.5,0,3,0,0
0,0.6,0,3,0,0
0,0.7,0,3,0,0
0,0.8,0,3,0,0
0,0.9,0,3,0,0
0,1,0,3,0,0
0,1.1,0,3,0,0
0,1.2,0,3,0,0
0,1.3,0,3,0,0
0,1.4,0,3,0,0
0,1.5,0,3,0,0
0,1.6,0,3,0,0
0,1.7,0,3,0,0
0,1.8,0,3,0,0
0,1.9,0,3,0,0
0,2,0,3,0,0
0,2.1,0,3,0,0
0,2.2,0,3,0,0
0,2.3,0,3,0,0
0,2.4,0,3,0,0
0,2.5,0,3,0,0
0,2.6,0,3,0,0
0,2.7,0,3,0,0
0,2.8,0,3,0,0
0,2.9,0,3,0,0
0,3,0,3,0,0
0,3.1,0,3,0,0
0,3.2,0,3,0,0
0,3.3,0,3,0,0
0,3.4,0,3,0,0
0,3.5,0,3,0,0
0,3.6,0,3,0,0
0,3.7,0,3,0,0
0,3.8,0,3,0,0
0,3.9,0,3,0,0
0,4,0,3,0,0
0,4.1,0,3,0,0
0,4.2,0,3,0,0
0,4.3,0,3,0,0
0,4.4,0,3,0,0
0,4.5,0,3,0,0
0,4.6,0,3,0,0
0,4.7,0,3,0,0
0,4.8,0,3,0,0
0,4.9,0,3,0,0
0,5,0,3,0,0
0,5.1,0,3,0,0
0,5.2,0,3,0,0
0,5.3,0,3,0,0
0,5.4,0,3,0,0
0,5.5,0,3,0,0
0,5.6,0,3,0,0
0,5.7,0,3,0,0
0,5.8,0,3,0,0
0,5.9,0,3,0,0
0,6,0,3,0,0
0,6.1,0,3,0,0
0,6.2,0,3,0,0
0,6.3,0,3,0,0
0,6.4,0,3,0,0
0,6.5,0,3,0,0
0,6.6,0,3,0,0
0,6.7,0,3,0,0
0,6.8,0,3,0,0
0,6.9,0,3,0,0
0,7,0,3,0,0
0,7.1,0,3,0,0
0,7.2,0,3,0,0
0,7.3,0,3,0,0
0,7.4,0,3,0,0
0,7.5,0,3,0,0
0,7.6,0,3,0,0
0,7.7,0,3,0,0
0,7.8,0,3,0,0
0,7.9,0,3,0,0
0,8,0,3,0,0
0,8.1,0,3,0,0
0,8.2,0,3,0,0
0,8.3,0,3,0,0
0,8.4,0,3,0,0
0,8.5,0,3,0,0
0,8.6,0,3,0,0
0,8.7,0,3,0,0
0,8.8,0,3,0,0
0,8.9,0,3,0,0
0,9,0,3,0,0
0,9.1,0,3,0,0
0,9.2,0,3,0,0
0,9.3,0,3,0,0
0,9.4,0,3,0,0
0,9.5,0,3,0,0
0,9.6,0,3,0,0
0,9.7,0,3,0,0
0,9.8,0,3,0,0
0,9.9,0,3,0,0
0,10,0,3,0,0
0,10.1,0,3,0,0
0,10.2,0,3,0,0
0,10.3,0,3,0,0
0,10.4,0,3,0,0
0,10.5,0,3,0,0
0,10.6,0,3,0,0
0,10.7,0,3,0,0
0,10.8,0,3,0,0
0,10.9,0,3,0,0
0,11,0,3,0,0
0,11.1,0,3,0,0
0,11.2,0,3,0,0
0,11.3,0,3,0,0
0,11.4,0,3,0,0
0,11.5,0,3,0,0
0,11.6,0,3,0,0
0,11.7,0,3,0,0
0,11.8,0,3,0,0
0,11.9,0,3,0,0
0,12,0,3,0,0
0,12.1,0,3,0,0
0,12.2,0,3,0,0
0,12.3,0,3,0,0
0,12.4,0,2.82294,0,0
0,12.5,0,2.31704,0,0
0,12.6,0,1.81115,0,0
0,12.7,0,1.30525,0,0
0.1,0,0,0.9,0,0
0.1,0.1,0,2.10954,0.0140884,-5e-09
0.1,0.2,0,2.70954,0.0140884,-5e-09
0.1,0.3,0,3.01475,0.0125358,-1e-08
0.1,0.4,0,3.01996,0.0109832,-1.5e-08
0.1,0.5,0,3.01996,0.0109832,-1.5e-08
0.1,0.6,0,3.01877,0.00574354,-1.5e-08
0.1,0.7,0,3.01877,0.00574354,-1.5e-08
0.1,0.8,0,3.01839,0.00481355,-1.25e-08
0.1,0.9,0,3.01801,0.00388357,-1e-08
0.1,1,0,3.01801,0.00388357,-1e-08
0.1,1.1,0,3.01765,0.00208589,-5e-09
0.1,1.2,0,3.01765,0.00208589,-5e-09
0.1,1.3,0,3.01756,0.00153322,2.5e-09
0.1,1.4,0,3.01748,0.000980544,1e-08
0.1,1.5,0,3.01748,0.000980544,1e-08
0.1,1.6,0,3.01736,9.31764e-05,2e-08
0.1,1.7,0,3.01736,9.31764e-05,2e-08
0.1,1.8,0,3.01731,-0.000245793,1.5e-08
0.1,1.9,0,3.01727,-0.000584763,1e-08
0.1,2,0,3.01727,-0.000584763,1e-08
0.1,2.1,0,3.01716,-0.00110711,1e-08
0.1,2.2,0,3.01716,-0.00110711,1e-08
0.1,2.3,0,3.01708,-0.00130265,1.25e-08
0.1,2.4,0,3.01701,-0.00149818,1.5e-08
0.1,2.5,0,3.01701,-0.00149818,1.5e-08
0.1,2.6,0,3.01678,-0.00176515,5e-09
0.1,2.7,0,3.01678,-0.00176515,5e-09
0.1,2.8,0,3.0166,-0.00185303,2.5e-09
0.1,2.9,0,3.01643,-0.0019409,2.77556e-18
0.1,3,0,3.01643,-0.0019409,2.77556e-18
0.1,3.1,0,3.01593,-0.00208158,-1.9082e-18
0.1,3.2,0,3.01593,-0.00208158,-1.9082e-18
0.1,3.3,0,3.01564,-0.00217037,2.5e-09
0.1,3.4,0,3.01534,-0.00225917,5e-09
0.1,3.5,0,3.01534,-0.00225917,5e-09
0.1,3.6,0,3.01473,-0.00251672,5e-09
0.1,3.7,0,3.01473,-0.00251672,5e-09
0.1,3.8,0,3.01445,-0.00281944,5e-09
0.1,3.9,0,3.01417,-0.00312215,5e-09
0.1,4,0,3.01417,-0.00312215,5e-09
0.1,4.1,0,3.01394,-0.00439584,5e-09
0.1,4.2,0,3.01394,-0.00439584,5e-09
0.1,4.3,0,3.01393,-0.00513222,3e-09
0.1,4.4,0,3.01392,-0.0058686,1e-09
0.1,4.5,0,3.01392,-0.0058686,1e-09
0.1,4.6,0,3.01343,-0.0069885,1e-09
0.1,4.7,0,3.01343,-0.0069885,1e-09
0.1,4.8,0,3.01487,-0.00605324,7.80625e-10
0.1,4.9,0,3.01631,-0.00511797,5.6125e-10
0.1,5,0,3.01631,-0.00511797,5.6125e-10
0.1,5.1,0,3.0207,-0.0030066,1e-09
0.1,5.2,0,3.02347,-0.00236191,1.5e-09
0.1,5.3,0,3.02487,-0.00161987,-3.5e-09
0.1,5.4,0,3.02541,-0.00075604,-4e-09
0.1,5.5,0,3.02555,0.00029551,5e-10
0.1,5.6,0,3.02554,0.0014241,5e-10
