x,y,z,p
0,0,0,0.0426614
0,0.1,0,0.0938954
0,0.2,0,0.145129
0,0.3,0,0.204975
0,0.4,0,0.273433
0,0.5,0,0.34189
0,0.6,0,0.410587
0,0.7,0,0.479283
0,0.8,0,0.548075
0,0.9,0,0.616962
0,1,0,0.685849
0,1.1,0,0.754882
0,1.2,0,0.823915
0,1.3,0,0.893091
0,1.4,0,0.96241
0,1.5,0,1.03173
0,1.6,0,1.10167
0,1.7,0,1.17161
0,1.8,0,1.24205
0,1.9,0,1.31299
0,2,0,1.38392
0,2.1,0,1.45602
0,2.2,0,1.52812
0,2.3,0,1.6007
0,2.4,0,1.67376
0,2.5,0,1.74683
0,2.6,0,1.8206
0,2.7,0,1.89438
0,2.8,0,1.96889
0,2.9,0,2.04413
0,3,0,2.11937
0,3.1,0,2.19756
0,3.2,0,2.27575
0,3.3,0,2.35502
0,3.4,0,2.43537
0,3.5,0,2.51572
0,3.6,0,2.59345
0,3.7,0,2.67118
0,3.8,0,2.74574
0,3.9,0,2.81713
0,4,0,2.88853
0,4.1,0,2.95423
0,4.2,0,3.01993
0,4.3,0,3.08514
0,4.4,0,3.14985
0,4.5,0,3.21456
0,4.6,0,3.27868
0,4.7,0,3.3428
0,4.8,0,3.40397
0,4.9,0,3.4622
0,5,0,3.52043
0,5.1,0,3.56325
0,5.2,0,3.60606
0,5.3,0,3.64888
0,5.4,0,3.68739
0,5.5,0,3.72591
0,5.6,0,3.76442
0,5.7,0,3.79668
0,5.8,0,3.82894
0,5.9,0,3.8612
0,6,0,3.88019
0,6.1,0,3.89918
0,6.2,0,3.91817
0,6.3,0,3.9238
0,6.4,0,3.92943
0,6.5,0,3.93506
0,6.6,0,3.93064
0,6.7,0,3.92622
0,6.8,0,3.9218
0,6.9,0,3.90527
0,7,0,3.88874
0,7.1,0,3.87221
0,7.2,0,3.84196
0,7.3,0,3.81171
0,7.4,0,3.78146
0,7.5,0,3.7413
0,7.6,0,3.70113
0,7.7,0,3.66097
0,7.8,0,3.6176
0,7.9,0,3.57423
0,8,0,3.53086
0,8.1,0,3.47532
0,8.2,0,3.41978
0,8.3,0,3.35988
0,8.4,0,3.29764
0,8.5,0,3.23367
0,8.6,0,3.16564
0,8.7,0,3.09762
0,8.8,0,3.02955
0,8.9,0,2.96148
0,9,0,2.89184
0,9.1,0,2.82116
0,9.2,0,2.74885
0,9.3,0,2.67167
0,9.4,0,2.59449
0,9.5,0,2.51193
