x,y,z,U_0,U_1,U_2
0,0,0,3.00104,-0.00345838,0
0,0.1,0,3.00062,-0.00207503,0
0,0.2,0,3.00021,-0.000691675,0
0,0.3,0,3,0,0
0,0.4,0,3,0,0
0,0.5,0,3,0,0
0,0.6,0,3,0,0
0,0.7,0,3,0,0
0,0.8,0,3,0,0
0,0.9,0,3,0,0
0,1,0,3,0,0
0,1.1,0,3,0,0
0,1.2,0,3,0,0
0,1.3,0,3,0,0
0,1.4,0,3,0,0
0,1.5,0,3,0,0
0,1.6,0,3,0,0
0,1.7,0,3,0,0
0,1.8,0,3,0,0
0,1.9,0,3,0,0
0,2,0,3,0,0
0,2.1,0,3,0,0
0,2.2,0,3,0,0
0,2.3,0,3,0,0
0,2.4,0,3,0,0
0,2.5,0,3,0,0
0,2.6,0,3,0,0
0,2.7,0,3,0,0
0,2.8,0,3,0,0
0,2.9,0,3,0,0
0,3,0,3,0,0
0,3.1,0,3,0,0
0,3.2,0,3,0,0
0,3.3,0,3,0,0
0,3.4,0,3,0,0
0,3.5,0,3,4.93212e-18,0
0,3.6,0,3,0,0
0,3.7,0,3,0,0
0,3.8,0,3,0,0
0,3.9,0,3,0,0
0,4,0,3,3.86478e-18,0
0,4.1,0,3,0,0
0,4.2,0,3,0,0
0,4.3,0,3,0,0
0,4.4,0,3,0,0
0,4.5,0,3,0,0
0,4.6,0,3,0,0
0,4.7,0,3,0,0
0,4.8,0,3,0,0
0,4.9,0,3,0,0
0,5,0,3,0,0
0,5.1,0,3,1.53805e-18,0
0,5.2,0,3,0,0
0,5.3,0,3,1.07194e-18,0
0,5.4,0,3,8.07003e-19,0
0,5.5,0,3,0,0
0,5.6,0,3,2.54348e-19,0
0,5.7,0,3,-2.45304e-20,0
0,5.8,0,3,-2.92022e-19,0
0,5.9,0,3,-5.42949e-19,0
0,6,0,3,0,0
0,6.1,0,3,0,0
0,6.2,0,3,0,0
0,6.3,0,3,0,0
0,6.4,0,3,0,0
0,6.5,0,3,0,0
0,6.6,0,3,0,0
0,6.7,0,3,0,0
0,6.8,0,3,0,0
0,6.9,0,3,0,0
0,7,0,3,0,0
0,7.1,0,3,0,0
0,7.2,0,3,0,0
0,7.3,0,3,0,0
0,7.4,0,3,0,0
0,7.5,0,3,0,0
0,7.6,0,3,0,0
0,7.7,0,3,0,0
0,7.8,0,3,0,0
0,7.9,0,3,0,0
0,8,0,3,0,0
0,8.1,0,3,0,0
0,8.2,0,3,0,0
0,8.3,0,3,0,0
0,8.4,0,3,0,0
0,8.5,0,3,0,0
0,8.6,0,3,0,0
0,8.7,0,3,0,0
0,8.8,0,3,0,0
0,8.9,0,3,0,0
0,9,0,3,0,0
0,9.1,0,3,0,0
0,9.2,0,3,0,0
0,9.3,0,3,0,0
0,9.4,0,3,0,0
0,9.5,0,3,0,0
0,9.6,0,3,0,0
0,9.7,0,3,0,0
0,9.8,0,3,0,0
0,9.9,0,3,0,0
0,10,0,3,0,0
0,10.1,0,3,0,0
0,10.2,0,3,0,0
0,10.3,0,3,0,0
0,10.4,0,3,0,0
0,10.5,0,3,0,0
0,10.6,0,3,0,0
0,10.7,0,3,0,0
0,10.8,0,3,0,0
0,10.9,0,3,0,0
0,11,0,3,0,0
0,11.1,0,3,0,0
0,11.2,0,3,0,0
0,11.3,0,3,0,0
0,11.4,0,3,0,0
0,11.5,0,3,0,0
0,11.6,0,3,0,0
0,11.7,0,3,0,0
0,11.8,0,3,0,0
0,11.9,0,3,0,0
0,12,0,3,0,0
0,12.1,0,3,0,0
0,12.2,0,3,0,0
0,12.3,0,3,0,0
0,12.4,0,3.00006,0.000253498,0
0,12.5,0,3.00023,0.000977778,0
0,12.6,0,3.0004,0.00170206,0
0,12.7,0,3.00057,0.00242634,0
0.1,0,0,3.00083,-0.0103596,0
0.1,0.1,0,3.00153,-0.00509438,0
0.1,0.2,0,3.00081,-0.00509563,0
0.1,0.3,0,3.001,-0.0052493,0
0.1,0.4,0,3.00147,-0.00422699,0
0.1,0.5,0,2.99957,-0.00725429,0
0.1,0.6,0,3.00017,-0.00296073,0
0.1,0.7,0,3.00003,-0.00423469,0
0.1,0.8,0,2.99962,-0.00365076,0
0.1,0.9,0,2.99958,-0.00212654,0
0.1,1,0,3.00011,-0.00728022,0
0.1,1.1,0,3.00156,-0.00231481,0
0.1,1.2,0,3.00104,-0.00371059,0
0.1,1.3,0,3.00182,-0.00337357,0
0.1,1.4,0,3.00267,-0.00183336,0
0.1,1.5,0,2.99916,-0.00653069,0
0.1,1.6,0,3.0018,0.00062192,0
0.1,1.7,0,3.00095,-0.00149121,0
0.1,1.8,0,3.00078,0.000210263,0
0.1,1.9,0,3.00156,0.00305259,0
0.1,2,0,2.99901,-0.00648458,0
0.1,2.1,0,3.00289,0.00567462,0
0.1,2.2,0,3.00163,0.00205404,0
0.1,2.3,0,3.00236,0.00412749,0
0.1,2.4,0,3.00393,0.00863669,0
0.1,2.5,0,2.99833,-0.00623834,0
0.1,2.6,0,3.00348,0.0131318,0
0.1,2.7,0,3.00201,0.00727753,0
0.1,2.8,0,3.00268,0.00967653,0
0.1,2.9,0,3.00445,0.0165589,0
0.1,3,0,2.999,-0.00654634,0
0.1,3.1,0,3.00658,0.0184634,0
0.1,3.2,0,3.00444,0.0109604,0
0.1,3.3,0,3.0084,0.0117999,0
0.1,3.4,0,3.01224,0.0196626,0
0.1,3.5,0,3.00012,-0.00634636,0
0.1,3.6,0,3.02175,0.0174467,0
0.1,3.7,0,3.01534,0.0104774,0
0.1,3.8,0,3.02585,0.00805876,0
0.1,3.9,0,3.03676,0.0139916,0
0.1,4,0,2.99977,-0.00497298,0
0.1,4.1,0,3.05414,0.0105821,0
0.1,4.2,0,3.03746,0.00618215,0
0.1,4.3,0,3.04407,0.00482647,0
0.1,4.4,0,3.06358,0.00864543,0
0.1,4.5,0,2.99759,-0.00333099,0
0.1,4.6,0,3.05618,0.00835966,0
0.1,4.7,0,3.03879,0.00499378,0
0.1,4.8,0,3.02293,0.00449178,0
0.1,4.9,0,3.03353,0.00764251,0
0.1,5,0,2.99973,-0.00240614,0
0.1,5.1,0,3.00061,-0.00197907,0
0.1,5.2,0,3.00091,-0.00169612,0
0.1,5.3,0,3.00106,-0.00137931,0
0.1,5.4,0,3.0011,-0.00103841,0
0.1,5.5,0,3.00104,-0.000686484,0
0.1,5.6,0,3.00083,-0.000327281,0
0.1,5.7,0,3.00045,3.15643e-05,0
0.1,5.8,0,2.99985,0.000375757,0
0.1,5.9,0,2.99903,0.000698636,0
0.1,6,0,2.99744,0.00139987,0
0.1,6.1,0,3.06461,-0.0136856,0
0.1,6.2,0,3.06461,-0.0136856,0
0.1,6.3,0,3.02183,-0.00362064,0
0.1,6.4,0,3.01691,-0.00450202,0
0.1,6.5,0,3.02623,-0.00766017,0
0.1,6.6,0,3.01877,-0.00481325,0
0.1,6.7,0,3.00228,-0.00177141,0
0.1,6.8,0,3.0107,-0.0120845,0
0.1,6.9,0,3.0107,-0.0120845,0
0.1,7,0,2.99947,0.00276263,0
0.1,7.1,0,3.00394,-0.00852435,0
0.1,7.2,0,3.00398,-0.00861537,0
0.1,7.3,0,3.00107,-0.00146919,0
0.1,7.4,0,3.00051,-0.00273333,0
0.1,7.5,0,3.00142,-0.00653971,0
0.1,7.6,0,3.00093,-0.00432567,0
0.1,7.7,0,2.99953,0.00176295,0
0.1,7.8,0,3.00054,-0.00368976,0
0.1,7.9,0,3.00054,-0.00368976,0
0.1,8,0,2.99947,0.00301359,0
0.1,8.1,0,3.00018,-0.000973296,0
0.1,8.2,0,3.00023,-0.00127609,0
0.1,8.3,0,2.99985,0.00149279,0
0.1,8.4,0,2.99984,0.00197055,0
0.1,8.5,0,3.00008,0.000505472,0
0.1,8.6,0,3.00001,0.00110477,0
0.1,8.7,0,2.99973,0.00364172,0
0.1,8.8,0,3.00003,0.00169581,0
0.1,8.9,0,3.00003,0.00169581,0
0.1,9,0,2.99982,0.00397546,0
0.1,9.1,0,3.00003,0.00279643,0
0.1,9.2,0,3.00006,0.00259441,0
0.1,9.3,0,2.99998,0.00360183,0
0.1,9.4,0,2.99974,0.00362395,0
0.1,9.5,0,2.9996,0.00263674,0
0.1,9.6,0,2.99962,0.002877,0
0.1,9.7,0,2.99988,0.00454348,0
0.1,9.8,0,3.0003,0.00325423,0
0.1,9.9,0,3.0003,0.00325423,0
0.1,10,0,3.00009,0.00475549,0
0.1,10.1,0,3.00037,0.0040242,0
0.1,10.2,0,3.00043,0.00380266,0
0.1,10.3,0,3.00034,0.00455262,0
0.1,10.4,0,2.99952,0.00380234,0
0.1,10.5,0,2.99874,0.00181501,0
0.1,10.6,0,2.9988,0.00202249,0
0.1,10.7,0,2.99976,0.00511236,0
0.1,10.8,0,3.00002,0.00358715,0
0.1,10.9,0,3.00002,0.00358715,0
0.1,11,0,2.99982,0.00497759,0
0.1,11.1,0,3.0009,0.00431568,0
0.1,11.2,0,3.00122,0.0039971,0
0.1,11.3,0,3.00091,0.00476915,0
0.1,11.4,0,3.00023,0.00488575,0
0.1,11.5,0,3.00003,0.00324157,0
0.1,11.6,0,3.00004,0.00326376,0
0.1,11.7,0,3.00036,0.00596974,0
0.1,11.8,0,2.99898,0.00150598,0
0.1,11.9,0,2.99898,0.00150598,0
0.1,12,0,2.99965,0.00456949,0
0.1,12.1,0,2.99993,0.00333067,0
0.1,12.2,0,2.99993,0.00236183,0
0.1,12.3,0,2.99988,0.00354133,0
0.1,12.4,0,3.0001,0.00484606,0
0.1,12.5,0,3.00072,0.00306389,0
0.1,12.6,0,3.00089,0.00378817,0
0.1,12.7,0,3.00028,0.00805114,0
0.2,0,0,3.00062,-0.0172608,0
0.2,0.1,0,3.00177,-0.0104429,0
0.2,0.2,0,3.00072,-0.0127303,0
0.2,0.3,0,3.0009,-0.012884,0
0.2,0.4,0,3.0018,-0.0102704,0
0.2,0.5,0,2.99913,-0.0145086,0
0.2,0.6,0,2.99997,-0.0084976,0
0.2,0.7,0,2.99974,-0.011442,0
0.2,0.8,0,2.99933,-0.010858,0
0.2,0.9,0,2.99947,-0.00734529,0
0.2,1,0,3.00022,-0.0145604,0
0.2,1.1,0,3.00225,-0.00760887,0
0.2,1.2,0,3.00085,-0.010678,0
0.2,1.3,0,3.00163,-0.010341,0
0.2,1.4,0,3.00324,-0.00648512,0
0.2,1.5,0,2.99832,-0.0130614,0
0.2,1.6,0,3.00202,-0.00304773,0
0.2,1.7,0,2.99991,-0.00791305,0
0.2,1.8,0,2.99974,-0.00621158,0
0.2,1.9,0,3.00159,0.000382886,0
0.2,2,0,2.99802,-0.0129692,0
0.2,2.1,0,3.00345,0.00405372,0
0.2,2.2,0,3.00034,-0.00433992,0
0.2,2.3,0,3.00107,-0.00226648,0
0.2,2.4,0,3.0045,0.00834836,0
0.2,2.5,0,2.99666,-0.0124767,0
0.2,2.6,0,3.00387,0.0146415,0
0.2,2.7,0,3.00058,0.000895157,0
0.2,2.8,0,3.00125,0.00329416,0
0.2,2.9,0,3.00563,0.0192547,0
0.2,3,0,2.99801,-0.0130927,0
0.2,3.1,0,3.00861,0.0219209,0
0.2,3.2,0,3.00388,0.00441408,0
0.2,3.3,0,3.00784,0.00525356,0
0.2,3.4,0,3.01721,0.0237199,0
0.2,3.5,0,3.00024,-0.0126927,0
0.2,3.6,0,3.03053,0.0206176,0
0.2,3.7,0,3.01572,0.00469282,0
0.2,3.8,0,3.02623,0.00227422,0
0.2,3.9,0,3.05132,0.0166045,0
0.2,4,0,2.99953,-0.00994596,0
0.2,4.1,0,3.07565,0.0118312,0
0.2,4.2,0,3.03601,0.00209773,0
0.2,4.3,0,3.04262,0.000742052,0
0.2,4.4,0,3.08756,0.010105,0
0.2,4.5,0,2.99519,-0.00666197,0
0.2,4.6,0,3.07721,0.00970493,0
0.2,4.7,0,3.03699,0.00213384,0
0.2,4.8,0,3.02113,0.00163184,0
0.2,4.9,0,3.04678,0.00925584,0
0.2,5,0,2.99947,-0.00481228,0
