x,y,z,p
0,0,0,0.00130606
0,0.1,0,0.00230502
0,0.2,0,0.00330399
0,0.3,0,0.00430295
0,0.4,0,0.00548639
0,0.5,0,0.00685429
0,0.6,0,0.0082222
0,0.7,0,0.0095901
0,0.8,0,0.0109201
0,0.9,0,0.0122501
0,1,0,0.0135801
0,1.1,0,0.0149064
0,1.2,0,0.0162289
0,1.3,0,0.0175514
0,1.4,0,0.018874
0,1.5,0,0.0201585
0,1.6,0,0.021443
0,1.7,0,0.0227276
0,1.8,0,0.0239884
0,1.9,0,0.0252254
0,2,0,0.0264624
0,2.1,0,0.0276994
0,2.2,0,0.0288662
0,2.3,0,0.030033
0,2.4,0,0.0311998
0,2.5,0,0.0323325
0,2.6,0,0.0334311
0,2.7,0,0.0345298
0,2.8,0,0.0356284
0,2.9,0,0.0366557
0,3,0,0.037683
0,3.1,0,0.0387103
0,3.2,0,0.0397
0,3.3,0,0.0406519
0,3.4,0,0.0416038
0,3.5,0,0.0425557
0,3.6,0,0.0434175
0,3.7,0,0.0442793
0,3.8,0,0.0451411
0,3.9,0,0.045951
0,4,0,0.046709
0,4.1,0,0.047467
0,4.2,0,0.048225
0,4.3,0,0.0488804
0,4.4,0,0.0495358
0,4.5,0,0.0501912
0,4.6,0,0.0507928
0,4.7,0,0.0513408
0,4.8,0,0.0518887
0,4.9,0,0.0524367
0,5,0,0.052874
0,5.1,0,0.0533114
0,5.2,0,0.0537487
0,5.3,0,0.0541289
0,5.4,0,0.054452
0,5.5,0,0.0547751
0,5.6,0,0.0550982
0,5.7,0,0.0553051
0,5.8,0,0.055512
0,5.9,0,0.0557189
0,6,0,0.0558674
0,6.1,0,0.0559575
0,6.2,0,0.0560475
0,6.3,0,0.0561376
0,6.4,0,0.0561103
0,6.5,0,0.056083
0,6.6,0,0.0560557
0,6.7,0,0.0559874
0,6.8,0,0.0558779
0,6.9,0,0.0557684
0,7,0,0.0556589
0,7.1,0,0.0553149
0,7.2,0,0.0550578
0,7.3,0,0.0547646
0,7.4,0,0.0544355
