x,y,z,p
0,0,0,15.4792
0,0.1,0,15.4252
0,0.2,0,15.3712
0,0.3,0,15.3035
0,0.4,0,15.2358
0,0.5,0,15.2072
0,0.6,0,15.1786
0,0.7,0,15.1565
0,0.8,0,15.1344
0,0.9,0,15.1234
0,1,0,15.1124
0,1.1,0,15.1078
0,1.2,0,15.1031
0,1.3,0,15.1035
0,1.4,0,15.1039
0,1.5,0,15.1081
0,1.6,0,15.1122
0,1.7,0,15.1194
0,1.8,0,15.1266
0,1.9,0,15.1362
0,2,0,15.1458
0,2.1,0,15.1575
0,2.2,0,15.1692
0,2.3,0,15.1825
0,2.4,0,15.1958
0,2.5,0,15.2104
0,2.6,0,15.225
0,2.7,0,15.2411
0,2.8,0,15.2572
0,2.9,0,15.2764
0,3,0,15.2955
0,3.1,0,15.3194
0,3.2,0,15.3432
0,3.3,0,15.3697
0,3.4,0,15.3962
0,3.5,0,15.4166
0,3.6,0,15.437
0,3.7,0,15.4461
0,3.8,0,15.4552
0,3.9,0,15.459
0,4,0,15.4628
0,4.1,0,15.4689
0,4.2,0,15.4749
0,4.3,0,15.4845
0,4.4,0,15.494
0,4.5,0,15.4961
0,4.6,0,15.4982
0,4.7,0,15.4924
0,4.8,0,15.4866
0,4.9,0,15.4799
0,5,0,15.4732
0,5.1,0,15.4604
0,5.2,0,15.4476
0,5.3,0,15.4351
0,5.4,0,15.4227
0,5.5,0,15.4065
0,5.6,0,15.3903
0,5.7,0,15.3648
0,5.8,0,15.3392
0,5.9,0,15.3134
0,6,0,15.2876
0,6.1,0,15.2602
0,6.2,0,15.2328
0,6.3,0,15.2054
0,6.4,0,15.1726
0,6.5,0,15.137
0,6.6,0,15.1014
0,6.7,0,15.0638
0,6.8,0,15.0215
0,6.9,0,14.9793
0,7,0,14.9371
0,7.1,0,14.8953
0,7.2,0,14.8535
0,7.3,0,14.8118
0,7.4,0,14.7722
0,7.5,0,14.7341
0,7.6,0,14.6959
0,7.7,0,14.6581
0,7.8,0,14.6214
0,7.9,0,14.5847
0,8,0,14.548
0,8.1,0,14.5126
0,8.2,0,14.4774
0,8.3,0,14.4422
0,8.4,0,14.4079
0,8.5,0,14.3745
0,8.6,0,14.341
0,8.7,0,14.3081
0,8.8,0,14.2768
0,8.9,0,14.2456
0,9,0,14.2143
0,9.1,0,14.1853
0,9.2,0,14.1567
0,9.3,0,14.1281
0,9.4,0,14.101
0,9.5,0,14.0754
0,9.6,0,14.0498
0,9.7,0,14.0247
0,9.8,0,14.0025
0,9.9,0,13.9803
0,10,0,13.9581
0,10.1,0,13.9389
0,10.2,0,13.9203
0,10.3,0,13.9018
0,10.4,0,13.8849
0,10.5,0,13.8703
0,10.6,0,13.8556
0,10.7,0,13.8414
0,10.8,0,13.8309
0,10.9,0,13.8205
0,11,0,13.8101
0,11.1,0,13.8026
0,11.2,0,13.7961
0,11.3,0,13.7896
0,11.4,0,13.786
0,11.5,0,13.7868
0,11.6,0,13.7875
0,11.7,0,13.7884
0,11.8,0,13.7931
0,11.9,0,13.7978
0,12,0,13.8025
0,12.1,0,13.8216
0,12.2,0,13.8468
0,12.3,0,13.8719
0,12.4,0,13.8966
0,12.5,0,13.9201
0,12.6,0,13.9437
0,12.7,0,13.9673
0.1,0,0,15.3765
0.1,0.1,0,15.3382
0.1,0.2,0,15.2843
0.1,0.3,0,15.2361
0.1,0.4,0,15.1684
0.1,0.5,0,15.1461
0.1,0.6,0,15.1175
0.1,0.7,0,15.0994
0.1,0.8,0,15.0773
0.1,0.9,0,15.0686
0.1,1,0,15.0577
0.1,1.1,0,15.0545
0.1,1.2,0,15.0499
0.1,1.3,0,15.0516
0.1,1.4,0,15.052
0.1,1.5,0,15.0577
0.1,1.6,0,15.0618
0.1,1.7,0,15.0708
0.1,1.8,0,15.078
0.1,1.9,0,15.0896
0.1,2,0,15.0992
0.1,2.1,0,15.1128
0.1,2.2,0,15.1245
0.1,2.3,0,15.1393
0.1,2.4,0,15.1526
0.1,2.5,0,15.1681
0.1,2.6,0,15.1827
0.1,2.7,0,15.1984
0.1,2.8,0,15.2145
0.1,2.9,0,15.2305
0.1,3,0,15.2496
0.1,3.1,0,15.2671
0.1,3.2,0,15.291
0.1,3.3,0,15.3098
0.1,3.4,0,15.3363
0.1,3.5,0,15.3526
0.1,3.6,0,15.373
0.1,3.7,0,15.3819
0.1,3.8,0,15.391
0.1,3.9,0,15.3948
0.1,4,0,15.3986
0.1,4.1,0,15.4054
0.1,4.2,0,15.4114
0.1,4.3,0,15.4212
0.1,4.4,0,15.4307
0.1,4.5,0,15.4346
0.1,4.6,0,15.4367
0.1,4.7,0,15.4342
0.1,4.8,0,15.4284
0.1,4.9,0,15.4226
0.1,5,0,15.4159
0.1,5.1,0,15.4045
0.1,5.2,0,15.3917
0.1,5.3,0,15.377
0.1,5.4,0,15.3645
0.1,5.5,0,15.3453
0.1,5.6,0,15.3292
0.1,5.7,0,15.3031
0.1,5.8,0,15.2775
0.1,5.9,0,15.2472
0.1,6,0,15.2214
0.1,6.1,0,15.1949
0.1,6.2,0,15.1679
0.1,6.3,0,15.1405
0.1,6.4,0,15.1109
0.1,6.5,0,15.0786
0.1,6.6,0,15.043
0.1,6.7,0,15.0073
0.1,6.8,0,14.9714
0.1,6.9,0,14.9294
0.1,7,0,14.8871
0.1,7.1,0,14.8496
0.1,7.2,0,14.8096
0.1,7.3,0,14.7678
0.1,7.4,0,14.7286
0.1,7.5,0,14.6908
0.1,7.6,0,14.6526
0.1,7.7,0,14.6146
0.1,7.8,0,14.5766
0.1,7.9,0,14.5398
0.1,8,0,14.5031
0.1,8.1,0,14.4662
0.1,8.2,0,14.4302
0.1,8.3,0,14.3949
0.1,8.4,0,14.3598
0.1,8.5,0,14.3252
0.1,8.6,0,14.2918
0.1,8.7,0,14.2586
0.1,8.8,0,14.2263
0.1,8.9,0,14.195
0.1,9,0,14.1637
0.1,9.1,0,14.1342
0.1,9.2,0,14.1054
0.1,9.3,0,14.0767
