x,y,z,U_0,U_1,U_2
0,0,0,1.63894,0,0
0,0.1,0,2.31947,0,0
0,0.2,0,3,0,0
0,0.3,0,3,0,0
0,0.4,0,3,0,0
0,0.5,0,3,0,0
0,0.6,0,3,0,0
0,0.7,0,3,0,0
0,0.8,0,3,0,0
0,0.9,0,3,0,0
0,1,0,3,0,0
0,1.1,0,3,0,0
0,1.2,0,3,0,0
0,1.3,0,3,0,0
0,1.4,0,3,3.47458e-19,-9.62965e-35
0,1.5,0,3,0,0
0,1.6,0,3,0,0
0,1.7,0,3,0,0
0,1.8,0,3,0,0
0,1.9,0,3,0,0
0,2,0,3,0,0
0,2.1,0,3,0,0
0,2.2,0,3,0,0
0,2.3,0,3,0,0
0,2.4,0,3,0,0
0,2.5,0,3,0,0
0,2.6,0,3,0,0
0,2.7,0,3,0,0
0,2.8,0,3,0,0
0,2.9,0,3,0,0
0,3,0,3,0,0
0,3.1,0,3,0,0
0,3.2,0,3,0,0
0,3.3,0,3,0,0
0,3.4,0,3,0,0
0,3.5,0,3,0,0
0,3.6,0,3,0,0
0,3.7,0,3,0,0
0,3.8,0,3,0,0
0,3.9,0,3,0,0
0,4,0,3,0,0
0,4.1,0,3,0,0
0,4.2,0,3,0,0
0,4.3,0,3,0,0
0,4.4,0,3,0,0
0,4.5,0,3,0,0
0,4.6,0,3,0,0
0,4.7,0,3,0,0
0,4.8,0,3,0,0
0,4.9,0,3,0,0
0,5,0,3,0,0
0,5.1,0,3,0,0
0,5.2,0,3,0,0
0,5.3,0,3,0,0
0,5.4,0,3,0,0
0,5.5,0,3,0,0
0,5.6,0,3,0,0
0,5.7,0,3,0,0
0,5.8,0,3,0,0
0,5.9,0,3,0,0
0,6,0,3,0,0
0,6.1,0,3,0,0
0,6.2,0,3,0,0
0,6.3,0,3,0,0
0,6.4,0,3,0,0
0,6.5,0,3,0,0
0,6.6,0,3,0,0
0,6.7,0,3,0,0
0,6.8,0,3,0,0
0,6.9,0,3,0,0
0,7,0,3,0,0
0,7.1,0,3,0,0
0,7.2,0,3,0,0
0,7.3,0,3,0,0
0,7.4,0,3,0,0
0,7.5,0,3,0,0
0,7.6,0,3,0,0
0,7.7,0,3,0,0
0,7.8,0,3,0,0
0,7.9,0,3,0,0
0,8,0,3,0,0
0,8.1,0,3,0,0
0,8.2,0,3,0,0
0,8.3,0,3,0,0
0,8.4,0,3,0,0
0,8.5,0,3,0,0
0,8.6,0,3,0,0
0,8.7,0,3,0,0
0,8.8,0,3,0,0
0,8.9,0,3,0,0
0,9,0,3,0,0
0,9.1,0,3,0,0
0,9.2,0,3,0,0
0,9.3,0,3,0,0
0,9.4,0,3,0,0
0,9.5,0,3,0,0
0,9.6,0,3,0,0
0,9.7,0,3,0,0
0,9.8,0,3,0,0
0,9.9,0,3,0,0
0,10,0,3,0,0
0,10.1,0,3,0,0
0,10.2,0,3,0,0
0,10.3,0,3,0,0
0,10.4,0,3,0,0
0,10.5,0,3,0,0
0,10.6,0,3,0,0
0,10.7,0,3,0,0
0,10.8,0,3,0,0
0,10.9,0,3,0,0
0,11,0,3,0,0
0,11.1,0,3,0,0
0,11.2,0,3,0,0
0,11.3,0,3,0,0
0,11.4,0,3,0,0
0,11.5,0,3,0,0
0,11.6,0,3,0,0
0,11.7,0,3,0,0
0,11.8,0,3,0,0
0,11.9,0,3,0,0
0,12,0,3,0,0
0,12.1,0,3,0,0
0,12.2,0,3,0,0
0,12.3,0,3,0,0
0,12.4,0,2.82294,0,0
0,12.5,0,2.31704,0,0
0,12.6,0,1.81115,0,0
0,12.7,0,1.30525,0,0
0.1,0,0,0.983362,0,0
0.1,0.1,0,2.32418,0.0195379,1.38778e-18
0.1,0.2,0,3.00471,0.0195379,1.38778e-18
0.1,0.3,0,3.02211,0.015755,-5.20417e-19
0.1,0.4,0,3.02211,0.015755,-5.20417e-19
0.1,0.5,0,3.02037,0.00847856,1.38778e-18
0.1,0.6,0,3.02037,0.00847856,1.38778e-18
0.1,0.7,0,3.01904,0.00552061,-6.93889e-19
0.1,0.8,0,3.01904,0.00552061,-6.93889e-19
0.1,0.9,0,3.0182,0.00270227,5e-09
0.1,1,0,3.0182,0.00270227,5e-09
0.1,1.1,0,3.01755,0.000857297,5e-09
0.1,1.2,0,3.01755,0.000857297,5e-09
0.1,1.3,0,3.01685,-0.000625924,1.05843e-18
0.1,1.4,0,3.01685,-0.000625924,1.73472e-19
0.1,1.5,0,3.01607,-0.00190981,5e-09
0.1,1.6,0,3.01607,-0.00190981,5e-09
0.1,1.7,0,3.01523,-0.00316191,5e-09
0.1,1.8,0,3.01523,-0.00316191,5e-09
0.1,1.9,0,3.01442,-0.004444,1e-08
0.1,2,0,3.01442,-0.004444,1e-08
0.1,2.1,0,3.0137,-0.00572993,3e-08
0.1,2.2,0,3.0137,-0.00572993,3e-08
0.1,2.3,0,3.01309,-0.00698405,6.5e-08
0.1,2.4,0,3.01309,-0.00698405,6.5e-08
0.1,2.5,0,3.01256,-0.0083586,1.25e-07
0.1,2.6,0,3.01256,-0.0083586,1.25e-07
0.1,2.7,0,3.01211,-0.0103066,2.15e-07
0.1,2.8,0,3.01211,-0.0103066,2.15e-07
0.1,2.9,0,3.01205,-0.0128568,3.075e-07
0.1,3,0,3.01205,-0.0128568,3.075e-07
0.1,3.1,0,3.0124,-0.0146542,3.44e-07
0.1,3.2,0,3.0124,-0.0146542,3.44e-07
0.1,3.3,0,3.01242,-0.0136003,3.015e-07
0.1,3.4,0,3.01242,-0.0136003,3.015e-07
0.1,3.5,0,3.01171,-0.00968705,1.66e-07
0.1,3.6,0,3.01171,-0.00968705,1.66e-07
0.1,3.7,0,3.01242,-0.005932,-3.55e-08
0.1,3.8,0,3.01242,-0.005932,-3.55e-08
0.1,3.9,0,3.01965,-0.0034694,-1.165e-07
0.1,4,0,3.01965,-0.0034694,-1.165e-07
0.1,4.1,0,3.02543,-0.00281743,-6.5e-09
0.1,4.2,0,3.02543,-0.00281743,-6.5e-09
0.1,4.3,0,3.02249,-0.00200738,2.7e-08
0.1,4.4,0,3.02249,-0.00200738,2.7e-08
0.1,4.5,0,3.01978,0.00080471,-1.5e-08
0.1,4.6,0,3.01978,0.00080471,-1.5e-08
0.1,4.7,0,3.01952,0.00235414,1.5e-09
