x,y,z,p
0,0,0,1.42818e-05
0,0.1,0,2.52465e-05
0,0.2,0,3.62112e-05
0,0.3,0,4.71759e-05
0,0.4,0,6.01268e-05
0,0.5,0,7.50638e-05
0,0.6,0,9.00008e-05
0,0.7,0,0.000104938
0,0.8,0,0.000119672
0,0.9,0,0.000134406
0,1,0,0.00014914
0,1.1,0,0.000163722
0,1.2,0,0.000178152
0,1.3,0,0.000192582
0,1.4,0,0.000207012
0,1.5,0,0.000221044
0,1.6,0,0.000235077
0,1.7,0,0.000249109
0,1.8,0,0.000262898
0,1.9,0,0.000276443
0,2,0,0.000289988
0,2.1,0,0.000303532
0,2.2,0,0.000316505
0,2.3,0,0.000329477
0,2.4,0,0.000342449
0,2.5,0,0.000355095
0,2.6,0,0.000367415
0,2.7,0,0.000379735
0,2.8,0,0.000392055
0,2.9,0,0.000403646
0,3,0,0.000415238
0,3.1,0,0.000426829
0,3.2,0,0.000438021
0,3.3,0,0.000448813
0,3.4,0,0.000459605
0,3.5,0,0.000470397
0,3.6,0,0.000480321
0,3.7,0,0.000490246
0,3.8,0,0.00050017
0,3.9,0,0.000509627
0,4,0,0.000518617
0,4.1,0,0.000527607
0,4.2,0,0.000536597
0,4.3,0,0.00054458
0,4.4,0,0.000552563
0,4.5,0,0.000560546
0,4.6,0,0.000567987
0,4.7,0,0.000574886
0,4.8,0,0.000581785
0,4.9,0,0.000588685
0,5,0,0.00059442
0,5.1,0,0.000600155
0,5.2,0,0.00060589
0,5.3,0,0.000611003
0,5.4,0,0.000615492
0,5.5,0,0.000619981
0,5.6,0,0.00062447
0,5.7,0,0.000627608
0,5.8,0,0.000630746
0,5.9,0,0.000633884
0,6,0,0.000636301
0,6.1,0,0.000637997
0,6.2,0,0.000639693
0,6.3,0,0.000641389
0,6.4,0,0.000641467
0,6.5,0,0.000641545
0,6.6,0,0.000641623
0,6.7,0,0.000641132
0,6.8,0,0.000640071
0,6.9,0,0.00063901
0,7,0,0.000637949
0,7.1,0,0.000634473
0,7.2,0,0.000631664
0,7.3,0,0.000628462
0,7.4,0,0.000624915
0,7.5,0,0.000621012
0,7.6,0,0.000616745
0,7.7,0,0.000612121
0,7.8,0,0.000607145
0,7.9,0,0.000601785
0,8,0,0.000593974
0,8.1,0,0.000588379
0,8.2,0,0.000582785
0,8.3,0,0.000576087
0,8.4,0,0.000568796
0,8.5,0,0.000561225
0,8.6,0,0.000553001
0,8.7,0,0.000544777
0,8.8,0,0.000535714
0,8.9,0,0.000526606
0,9,0,0.000517007
0,9.1,0,0.000507081
0,9.2,0,0.000496962
0,9.3,0,0.000486268
0,9.4,0,0.000475574
0,9.5,0,0.000464234
0,9.6,0,0.000452823
0,9.7,0,0.000441045
0,9.8,0,0.000428967
0,9.9,0,0.000416766
0,10,0,0.000404073
0,10.1,0,0.000391379
0,10.2,0,0.000378205
0,10.3,0,0.000364945
0,10.4,0,0.000351428
0,10.5,0,0.000337653
0,10.6,0,0.000323809
0,10.7,0,0.000309569
