x,y,z,p
0,0,0,0.000137003
0,0.1,0,0.000301545
0,0.2,0,0.000466085
0,0.3,0,0.000658286
0,0.4,0,0.000878147
0,0.5,0,0.00109801
0,0.6,0,0.00131884
0,0.7,0,0.00153968
0,0.8,0,0.00176119
0,0.9,0,0.00198337
0,1,0,0.00220555
0,1.1,0,0.00242931
0,1.2,0,0.00265308
0,1.3,0,0.00287767
0,1.4,0,0.00310309
0,1.5,0,0.0033285
0,1.6,0,0.00355544
0,1.7,0,0.00378237
0,1.8,0,0.00400987
0,1.9,0,0.00423793
0,2,0,0.004466
0,2.1,0,0.0046945
0,2.2,0,0.004923
0,2.3,0,0.0051512
0,2.4,0,0.00537912
0,2.5,0,0.00560703
0,2.6,0,0.00583297
0,2.7,0,0.0060589
0,2.8,0,0.00628294
0,2.9,0,0.00650509
0,3,0,0.00672724
0,3.1,0,0.00694343
0,3.2,0,0.00715961
0,3.3,0,0.00737152
0,3.4,0,0.00757915
0,3.5,0,0.00778679
0,3.6,0,0.00798297
0,3.7,0,0.00817916
0,3.8,0,0.00836804
0,3.9,0,0.00854962
0,4,0,0.0087312
0,4.1,0,0.0088949
0,4.2,0,0.0090586
0,4.3,0,0.00921174
0,4.4,0,0.00935431
0,4.5,0,0.00949689
0,4.6,0,0.00961532
0,4.7,0,0.00973376
0,4.8,0,0.00983326
0,4.9,0,0.00991383
0,5,0,0.0099944
0,5.1,0,0.0100952
0,5.2,0,0.0101555
0,5.3,0,0.0102037
0,5.4,0,0.0102398
0,5.5,0,0.0102637
0,5.6,0,0.0102753
0,5.7,0,0.0102748
0,5.8,0,0.0102622
0,5.9,0,0.0102375
0,6,0,0.0101768
0,6.1,0,0.010123
0,6.2,0,0.0100693
0,6.3,0,0.0100156
0,6.4,0,0.00993498
0,6.5,0,0.00983987
0,6.6,0,0.00974477
0,6.7,0,0.0096409
0,6.8,0,0.00951658
0,6.9,0,0.00939226
0,7,0,0.00926794
0,7.1,0,0.00912154
0,7.2,0,0.00897397
0,7.3,0,0.0088264
0,7.4,0,0.00866851
0,7.5,0,0.00850375
0,7.6,0,0.00833898
0,7.7,0,0.00817133
0,7.8,0,0.00799503
0,7.9,0,0.00781873
0,8,0,0.00764243
0,8.1,0,0.00746023
0,8.2,0,0.00727737
0,8.3,0,0.00709451
0,8.4,0,0.00691029
0,8.5,0,0.00672497
0,8.6,0,0.00653965
0,8.7,0,0.00635448
0,8.8,0,0.00616989
0,8.9,0,0.0059853
0,9,0,0.00580072
0,9.1,0,0.00561874
0,9.2,0,0.00543722
0,9.3,0,0.0052557
0,9.4,0,0.00507649
0,9.5,0,0.00489959
0,9.6,0,0.0047227
0,9.7,0,0.00454663
0,9.8,0,0.00437526
0,9.9,0,0.0042039
0,10,0,0.00403253
0,10.1,0,0.00386589
0,10.2,0,0.00370043
0,10.3,0,0.00353497
